time	diffusion_coefficient	number_of_branches
2023.87825441656	78980.0617257899	10.684
2023.88340472777	91572.8018267583	13.886
2023.88855503899	103861.277252171	17.416
2023.8937053502	115170.160216822	21.14
2023.89885566142	124935.054828789	22.752
2023.90400597264	125998.688713257	23.501
2023.90915628385	125881.857155098	24.198
2023.91430659507	129608.34440367	24.662
2023.91945690628	142374.676104576	24.517
2023.9246072175	128598.013541238	24.923
2023.92975752871	123847.978759354	24.135
2023.93490783993	122270.546019696	23.106
2023.94005815114	120581.11369581	22.285
2023.94520846236	119623.68957674	22.327
2023.95035877358	132324.853283199	22.466
2023.95550908479	188242.404247671	22.451
2023.96065939601	174206.882461976	21.489
2023.96580970722	157380.213163737	19.977
2023.97096001844	142419.074914977	17.536
2023.97611032965	138427.637731793	16.266
2023.98126064087	123659.804851789	15.865
2023.98641095209	120631.396827879	15.952
2023.9915612633	112923.088071576	13.358
2023.99671157452	116375.853954974	12.097
2024.00186188573	119237.131718054	18.013
2024.00701219695	110466.649988152	27.467
2024.01216250816	136800.513161929	37.784
2024.01731281938	204338.9191267	45.059
2024.02246313059	320134.493111201	48.072
2024.02761344181	316162.300366662	49.517
2024.03276375303	302723.862595157	51.264
2024.03791406424	294453.197981238	53.176
2024.04306437546	283429.394188101	50.475
2024.04821468667	287924.955192293	42.24
2024.05336499789	251042.302665699	34.897
2024.0585153091	168690.086700245	26.876
2024.06366562032	112705.603430131	23.77
2024.06881593153	109686.367383199	24.324
2024.07396624275	94151.440679646	25.411
2024.07911655397	94302.8344037888	33.323
2024.08426686518	77775.4325590017	36.454
2024.0894171764	62154.1678976562	42.512
2024.09456748761	57115.5120570453	48.409
2024.09971779883	50505.1529167177	51.855
2024.10486811004	49500.7290417351	58.739
2024.11001842126	49885.2845118518	66.452
2024.11516873248	50074.6599939654	76.919
2024.12031904369	50537.6847967882	80.709
2024.12546935491	47738.0272435314	84.563
2024.13061966612	45265.9679578214	81.613
2024.13576997734	43664.9507943384	79.762
2024.14092028855	41237.8725478488	78.347
2024.14607059977	38651.6151936405	72.28
2024.15122091098	37612.1450843056	65.728
2024.1563712222	39320.991483159	55.942
2024.16152153342	38122.6772672672	47.695
2024.16667184463	33141.2620155206	33.452
2024.17182215585	27963.6540048221	33.674
2024.17697246706	26344.5051400455	27.92
2024.18212277828	22155.2987456604	26.987
2024.18727308949	20693.626603154	25.492
2024.19242340071	23404.3780854715	24.661
2024.19757371192	24271.3501202938	23.602
2024.20272402314	23948.3207102182	16.387
2024.20787433436	22995.3097555561	15.155
2024.21302464557	19917.3294086995	15.877
2024.21817495679	19722.7641749222	16.837
2024.223325268	20457.043980188	15.327
2024.22847557922	21271.6888408531	16.987
2024.23362589043	38113.3407681671	16.936
2024.23877620165	41064.7197767968	17.095
2024.24392651287	43414.4374283473	15.961
2024.24907682408	47705.6177977125	15.426
2024.2542271353	51341.6767149468	12.392
2024.25937744651	32889.5858197532	11.238
2024.26452775773	41555.2401197763	11.765
2024.26967806894	40651.6491350048	10.578
2024.27482838016	37737.9608280953	10.332
2024.27997869137	21440.0085197383	10.318
2024.28512900259	47986.2100347569	8.675
2024.29027931381	43055.9249364243	8.817
2024.29542962502	39320.4768529383	8.747
2024.30057993624	35814.5944159339	5.629
2024.30573024745	22400.4572313113	5.527
2024.31088055867	13710.2533767945	6.353
2024.31603086988	10737.5973951146	6.033
2024.3211811811	7876.07882896787	4.567
2024.32633149231	4496.62720986139	3.157
2024.33148180353	2042.27363990253	2.051
2024.33663211475	1335.50465601372	2.046
2024.34178242596	697.144144872517	2.046
2024.34693273718	150.920260296584	1
2024.35208304839	NA	0
2024.35723335961	NA	0
2024.36238367082	NA	0
2024.36753398204	NA	0
2024.37268429326	4056.2846301993	1
2024.37783460447	3519.06411897145	1
2024.38298491569	2981.72422887237	1
2024.3881352269	2444.26552117588	1
