time	diffusion_coefficient	number_of_branches
2023.87825441656	44647.0744806304	10
2023.88340472777	59068.8835531454	14
2023.88855503899	71490.1484237589	18
2023.8937053502	83135.7809401311	21
2023.89885566142	94218.0243102821	22
2023.90400597264	97465.7745301101	23
2023.90915628385	105402.509250894	24
2023.91430659507	107687.440427317	24.5
2023.91945690628	112328.709016692	24.5
2023.9246072175	109186.183971212	25
2023.92975752871	101181.669582118	24
2023.93490783993	94255.62328652	22
2023.94005815114	93796.2398135261	21
2023.94520846236	93539.1993042241	22
2023.95035877358	99259.1015361985	22
2023.95550908479	117223.272528175	22
2023.96065939601	110637.351208899	21
2023.96580970722	106288.556941982	19
2023.97096001844	109236.668002165	17
2023.97611032965	106261.954808619	15
2023.98126064087	91423.9387198093	14
2023.98641095209	79633.5142180827	15
2023.9915612633	77658.4063852146	12
2023.99671157452	71058.3386694345	10
2024.00186188573	81549.9882376883	17
2024.00701219695	103217.283681635	27
2024.01216250816	196053.958820272	39
2024.01731281938	279787.47217745	47
2024.02246313059	360170.577071887	50
2024.02761344181	365102.116327777	50
2024.03276375303	355175.332963242	52
2024.03791406424	346560.155515848	54
2024.04306437546	363294.91458119	51
2024.04821468667	408785.171599379	42
2024.05336499789	331969.798102421	35
2024.0585153091	276392.48218348	26
2024.06366562032	117227.534838608	23
2024.06881593153	86308.4376768097	24
2024.07396624275	75109.936674958	25
2024.07911655397	77847.4993235201	32
2024.08426686518	71430.8224541697	36
2024.0894171764	60006.7980263014	42
2024.09456748761	53067.1802344447	47
2024.09971779883	47957.9841640322	51
2024.10486811004	53039.7486040296	58
2024.11001842126	56875.1394650895	66
2024.11516873248	61184.1592166063	77
2024.12031904369	70907.0862111724	81
2024.12546935491	75614.1400217063	85
2024.13061966612	75284.1225593658	82
2024.13576997734	74608.3619935996	80
2024.14092028855	72940.3949231876	79
2024.14607059977	67761.6887546073	73
2024.15122091098	62241.9910009806	65
2024.1563712222	54114.2756839035	56
2024.16152153342	43914.7372067909	47
2024.16667184463	31346.1815850266	33
2024.17182215585	25539.4156055778	34
2024.17697246706	23856.9040488956	28
2024.18212277828	18028.2569639491	27
2024.18727308949	15241.0527960615	25
2024.19242340071	14123.5374398882	25
2024.19757371192	11237.8147115122	24
2024.20272402314	11845.5155539866	16
2024.20787433436	11326.8981412621	15
2024.21302464557	17517.0172177341	16
2024.21817495679	24965.3015523096	16
2024.223325268	26571.1383839719	16
2024.22847557922	25198.84044565	18
2024.23362589043	35031.2022135444	17
2024.23877620165	63884.5397984803	18
2024.24392651287	66405.4834004381	17
2024.24907682408	66199.3187595521	16
2024.2542271353	69793.2006122906	12
2024.25937744651	50600.1884884056	11
2024.26452775773	50166.2453330786	11
2024.26967806894	49566.489354433	10
2024.27482838016	42690.3200740585	11
2024.27997869137	16271.9060920229	11
2024.28512900259	28361.3448720917	9
2024.29027931381	24850.2660353483	9
2024.29542962502	20097.4559063734	9
2024.30057993624	23993.1368831078	6
2024.30573024745	20384.0121837356	6
2024.31088055867	14002.7852436707	7
2024.31603086988	9865.09535829275	6
2024.3211811811	6485.11739665287	4
2024.32633149231	2653.20358646047	3
2024.33148180353	1144.83274320805	2
2024.33663211475	704.408699580464	2
2024.34178242596	266.412853485071	2
2024.34693273718	88.3832175712191	1
2024.35208304839	NA	0
2024.35723335961	NA	0
2024.36238367082	NA	0
2024.36753398204	NA	0
2024.37268429326	1373.24539368575	1
2024.37783460447	1191.19236565348	1
2024.38298491569	1009.15375199902	1
2024.3881352269	827.129558544596	1
