time	diffusion_coefficient	number_of_branches
2023.87825441656	49990.8140646193	10
2023.88340472777	63619.7450510064	14
2023.88855503899	75970.3966821561	18
2023.8937053502	86895.7845755559	21
2023.89885566142	95787.3635151976	22
2023.90400597264	97951.5588944199	23
2023.90915628385	101322.640398227	24
2023.91430659507	104584.195333309	24.5
2023.91945690628	107377.233106985	24.5
2023.9246072175	99839.6390401243	25
2023.92975752871	95973.2324881296	24
2023.93490783993	92283.720070339	22
2023.94005815114	86343.2750589265	21
2023.94520846236	89644.1991200461	22
2023.95035877358	94609.0509671949	22
2023.95550908479	144452.568031504	22
2023.96065939601	134466.736810652	21
2023.96580970722	119222.232804022	19
2023.97096001844	106293.50853216	17
2023.97611032965	98530.8825983295	15
2023.98126064087	85949.0492194025	14
2023.98641095209	82889.0187673493	15
2023.9915612633	78382.7716984881	12
2023.99671157452	78590.9146583153	10
2024.00186188573	93211.0641833886	17
2024.00701219695	95879.0575160647	27
2024.01216250816	119915.591756143	39
2024.01731281938	186670.178729033	47
2024.02246313059	302434.900600754	50
2024.02761344181	298596.041437774	50
2024.03276375303	288470.242939313	52
2024.03791406424	282437.121474117	54
2024.04306437546	275579.238123182	51
2024.04821468667	286829.953418734	42
2024.05336499789	227171.179297333	35
2024.0585153091	146254.510863864	26
2024.06366562032	90886.1906533822	23
2024.06881593153	91029.1168971192	24
2024.07396624275	79104.2536594271	25
2024.07911655397	83876.7426112574	32
2024.08426686518	69629.511519978	36
2024.0894171764	55479.6718667805	42
2024.09456748761	50961.1378344439	47
2024.09971779883	45136.4829593495	51
2024.10486811004	44985.1115021362	58
2024.11001842126	45198.1124842048	66
2024.11516873248	45539.6659629207	77
2024.12031904369	46585.1604414959	81
2024.12546935491	43375.4777800423	85
2024.13061966612	41296.8905623469	82
2024.13576997734	40464.7134010931	80
2024.14092028855	38128.2796443568	79
2024.14607059977	35823.4606103397	73
2024.15122091098	34752.633456816	65
2024.1563712222	36076.0736711141	56
2024.16152153342	35186.2392185664	47
2024.16667184463	30310.874837379	33
2024.17182215585	25007.0227374718	34
2024.17697246706	23230.8754549441	28
2024.18212277828	18764.2654420793	27
2024.18727308949	16093.1130541138	25
2024.19242340071	16964.6920484445	25
2024.19757371192	16359.9097401661	24
2024.20272402314	14972.0932237036	16
2024.20787433436	13748.8378446368	15
2024.21302464557	13896.6104013525	16
2024.21817495679	14141.8557166651	16
2024.223325268	14595.462626546	16
2024.22847557922	16051.4826052901	18
2024.23362589043	32190.8488821876	17
2024.23877620165	34934.9505462118	18
2024.24392651287	36894.6212968687	17
2024.24907682408	39712.8429735072	16
2024.2542271353	41212.876002118	12
2024.25937744651	23269.9534727147	11
2024.26452775773	31340.2782296536	11
2024.26967806894	30524.053751049	10
2024.27482838016	26763.8794853328	11
2024.27997869137	13142.7099967033	11
2024.28512900259	42038.5084025796	9
2024.29027931381	36896.6144239471	9
2024.29542962502	32339.1868076467	9
2024.30057993624	28783.4174221135	6
2024.30573024745	16941.780491801	6
2024.31088055867	9724.15277939597	7
2024.31603086988	6454.52817365019	6
2024.3211811811	3628.84251909766	4
2024.32633149231	2054.79119727154	3
2024.33148180353	1095.17224604162	2
2024.33663211475	691.961912729681	2
2024.34178242596	341.767569383441	2
2024.34693273718	88.3832175712191	1
2024.35208304839	NA	0
2024.35723335961	NA	0
2024.36238367082	NA	0
2024.36753398204	NA	0
2024.37268429326	1373.24539368575	1
2024.37783460447	1191.19236565348	1
2024.38298491569	1009.15375199902	1
2024.3881352269	827.129558544596	1
