time	95%HPD_lower_value	95%HPD_higher_value
2023.49370310542	17960.9842897798	41228.1951197024
2023.50271825393	814.776373900286	64451.0489724032
2023.51173340244	571.183479055464	94967.5607415002
2023.52074855096	66.5138401918556	82371.4994983422
2023.52976369947	161.131576586136	209234.618293079
2023.53877884798	255.736278819677	319407.585478247
2023.5477939965	300.344524143428	194589.45187706
2023.55680914501	140.251385921046	282980.620172587
2023.56582429352	72.2000920769798	404392.052862907
2023.57483944204	141.269953510835	351971.196675861
2023.58385459055	33.6141006251056	353760.570563061
2023.59286973907	149.71522733663	370373.039821558
2023.60188488758	41.9702420081911	520234.238892204
2023.61090003609	0.224610371886119	516804.703481775
2023.61991518461	81.055421444035	621253.056694623
2023.62893033312	173.195330481563	744809.475097492
2023.63794548163	18.293940401679	847394.972525104
2023.64696063015	60.1566610244062	1200976.19762146
2023.65597577866	140.201426944225	1602894.11934527
2023.66499092717	307.381206296469	2052077.26023108
2023.67400607569	6137.73898965166	2762332.68630987
2023.6830212242	128823.598024344	4347683.44252806
2023.69203637271	518736.57084042	5994646.15826229
2023.70105152123	942749.11055752	5107603.26283546
2023.71006666974	1131308.90448018	4810620.90356728
2023.71908181825	1000623.58056884	4353790.32392774
2023.72809696677	429089.708715522	3478669.52725307
2023.73711211528	653.067160442858	1946615.79087075
2023.74612726379	751.170867613696	1487006.69347888
2023.75514241231	53.9205147147128	1224274.84901554
2023.76415756082	130.96069984	1094955.41710199
2023.77317270934	78.4642494531711	949439.896700748
2023.78218785785	38688.7048136431	1143889.91891035
2023.79120300636	33753.7009457869	1002590.9507259
2023.80021815488	23046.6522421608	1037782.91455824
2023.80923330339	13386.4384100675	981405.803862261
2023.8182484519	3399.50249352887	894978.987991421
2023.82726360042	167.563010834841	914589.68214735
2023.83627874893	266.226076943338	979476.378950307
2023.84529389744	941.475380080855	1089221.21960045
2023.85430904596	22552.1644298544	1311248.92806751
2023.86332419447	111421.872475247	1706192.03721667
2023.87233934298	106047.549329739	1585983.81132409
2023.8813544915	172728.571688463	1591438.78242988
2023.89036964001	160632.554796329	1322380.86885297
2023.89938478852	53017.160821007	1021824.7482074
2023.90839993704	30871.8195429567	936280.698021534
2023.91741508555	23064.6224337519	885472.598506501
2023.92643023406	31163.7328335945	847621.055517135
2023.93544538258	30428.8619604268	781683.239229019
2023.94446053109	16920.8547062347	787711.863767008
2023.95347567961	49952.5772887191	977552.96118421
2023.96249082812	40860.1023780104	918127.595689158
2023.97150597663	35433.6931246874	857317.496626726
2023.98052112515	63111.4461728915	833669.200695575
2023.98953627366	51947.0952001723	850722.667190233
2023.99855142217	42727.1781593723	939573.092070342
2024.00756657069	74527.8473122344	1176239.83089074
2024.0165817192	243057.020442289	1388872.37328577
2024.02559686771	561463.757486182	1766779.33885934
2024.03461201623	475953.82615656	1799715.63702477
2024.04362716474	402028.443208868	1718142.26252765
2024.05264231325	300622.104500797	1487821.27211594
2024.06165746177	227850.593824857	1070380.86547674
2024.07067261028	331415.299478505	1375135.89008555
2024.07968775879	403358.790699014	1448356.83726759
2024.08870290731	422880.734335228	1419059.28067312
2024.09771805582	381570.995334288	1276336.47113495
2024.10673320433	307597.863504823	1099599.01683991
2024.11574835285	276984.752598277	1003140.4734278
2024.12476350136	334097.755064012	1101188.88824158
2024.13377864988	316147.907626506	1094272.07453486
2024.14279379839	279363.160664933	925505.671754666
2024.1518089469	253822.159257308	819817.772588117
2024.16082409542	169092.897698824	618659.02940155
2024.16983924393	128752.658326596	495746.793666632
2024.17885439244	85294.3160480013	411294.575732601
2024.18786954096	60877.1379167041	347701.054082806
2024.19688468947	44928.1948663392	272543.710669988
2024.20589983798	33504.8795307178	222634.733372356
2024.2149149865	15369.1155022074	159753.56503669
2024.22393013501	10495.1345146631	126106.408625049
2024.23294528352	12926.3382344349	134127.016665424
2024.24196043204	15772.9012636392	136437.442438341
2024.25097558055	9157.66154468501	114267.452473822
2024.25999072906	5841.93592085865	88335.2710722482
2024.26900587758	3952.39856064204	82702.6576538504
2024.27802102609	2945.81636744499	61337.638638013
2024.2870361746	609.566480740484	61656.6374565293
2024.29605132312	5905.99154651217	127047.149853595
2024.30506647163	9997.94143014493	150372.208430049
2024.31408162015	6051.929100058	114814.509898498
2024.32309676866	1646.13817579001	86361.6848566272
2024.33211191717	505.783779226083	54610.9437074381
2024.34112706569	106.92264103884	31747.4718708807
2024.3501422142	NA	NA
2024.35915736271	NA	NA
2024.36817251123	NA	NA
2024.37718765974	0.00424209757646313	6177.7729953734
2024.38620280825	0.0031290374891646	4557.38544304776
