time	diffusion_coefficient	number_of_branches
2023.49370310542	20668.1831867751	0.006
2023.50271825393	21319.4775972034	0.01
2023.51173340244	14539.5457849817	0.022
2023.52074855096	15587.3519286508	0.075
2023.52976369947	26802.8881396921	0.117
2023.53877884798	36706.3938129305	0.137
2023.5477939965	33621.506768943	0.195
2023.55680914501	45252.6049858627	0.206
2023.56582429352	46105.5483757847	0.232
2023.57483944204	48111.6072406637	0.38
2023.58385459055	52922.377169772	0.509
2023.59286973907	55458.2900407038	0.637
2023.60188488758	65200.8666191716	0.914
2023.61090003609	74527.7668340815	1.236
2023.61991518461	89682.9822305923	1.747
2023.62893033312	100083.933308059	2.438
2023.63794548163	114553.001113727	3.245
2023.64696063015	135766.123340151	4.359
2023.65597577866	153038.53232294	5.859
2023.66499092717	166811.304740327	8.21
2023.67400607569	208103.82383036	11.843
2023.6830212242	262240.445692216	19.149
2023.69203637271	208309.060929075	49.71
2023.70105152123	224989.505954112	49.573
2023.71006666974	233248.052275771	48.64
2023.71908181825	224559.513051285	46.169
2023.72809696677	183113.078918541	37.223
2023.73711211528	169718.744612762	9.054
2023.74612726379	131230.841462746	9.196
2023.75514241231	108740.110919896	9.226
2023.76415756082	91074.3617055017	9.441
2023.77317270934	72243.3876915361	9.493
2023.78218785785	84865.6356055909	10.436
2023.79120300636	76517.9103410844	10.625
2023.80021815488	70398.9386592248	10.651
2023.80923330339	64676.6489427064	10.769
2023.8182484519	58129.6769348116	11.134
2023.82726360042	61121.5618894742	10.935
2023.83627874893	65623.9175132568	12.48
2023.84529389744	71463.6601106164	14.741
2023.85430904596	92470.3378731446	17.573
2023.86332419447	110821.445817758	20.411
2023.87233934298	93291.5718899661	22.555
2023.8813544915	88070.3372786979	25.444
2023.89036964001	70973.2895476759	26.316
2023.89938478852	48066.5760427856	26.454
2023.90839993704	45488.3371382928	24.506
2023.91741508555	39250.0738101282	25.89
2023.92643023406	36797.8372944001	25.211
2023.93544538258	36142.9255656008	24.952
2023.94446053109	36802.0503536783	24.62
2023.95347567961	41994.1430715376	27.151
2023.96249082812	39284.6428010454	28.086
2023.97150597663	42079.2985521645	26.434
2023.98052112515	36549.2651772734	28.663
2023.98953627366	36259.3831367622	29.784
2023.99855142217	41848.0510295527	31.391
2024.00756657069	69913.9812450011	37.507
2024.0165817192	208460.485845747	42.75
2024.02559686771	304761.431079313	45.043
2024.03461201623	267418.090894737	50.782
2024.04362716474	215889.876112623	61.172
2024.05264231325	145741.573233288	73.314
2024.06165746177	41242.3779878588	97.02
2024.07067261028	26699.040850527	116.831
2024.07968775879	25203.427079539	131.737
2024.08870290731	25499.7725104248	136.35
2024.09771805582	23627.4738973783	136.297
2024.10673320433	21721.3201564756	132.939
2024.11574835285	19502.581477227	114.308
2024.12476350136	24190.8432158091	93.863
2024.13377864988	27486.0793165315	95.886
2024.14279379839	26754.4967422481	86.333
2024.1518089469	26964.6297137998	84.052
2024.16082409542	24202.4958664639	77.769
2024.16983924393	22966.2441210821	66.859
2024.17885439244	18862.7261044444	57.212
2024.18786954096	18858.3553459336	52.581
2024.19688468947	13806.8799125005	48.391
2024.20589983798	13315.3771534315	37.067
2024.2149149865	7973.69117543662	29.079
2024.22393013501	6666.66253988201	22.364
2024.23294528352	6243.40816776308	21.505
2024.24196043204	22424.0079070173	22.433
2024.25097558055	23476.9910771331	18.867
2024.25999072906	24777.9976939031	17.867
2024.26900587758	24061.9231689638	18.574
2024.27802102609	21590.1161507086	17.272
2024.2870361746	5316.45147663704	9.801
2024.29605132312	10050.5957711515	11.721
2024.30506647163	15719.3564540993	9.134
2024.31408162015	13272.8726747503	8.557
2024.32309676866	11439.1971827018	6.894
2024.33211191717	7332.98662000167	5.47
2024.34112706569	4413.91754064547	4.105
2024.3501422142	NA	0
2024.35915736271	NA	0
2024.36817251123	NA	0
2024.37718765974	1717.87509289235	1
2024.38620280825	1267.38964056435	1
