time	diffusion_coefficient	number_of_branches
2023.42374891433	18952.4948711181	0
2023.43346712004	26140.0128603709	0
2023.44318532575	NA	0
2023.45290353146	NA	0
2023.46262173717	12542.0806153402	0
2023.47233994288	26460.2054507334	0
2023.48205814859	31688.0625990843	0
2023.4917763543	28390.5126889876	0
2023.50149456001	27590.17308507	0
2023.51121276572	24828.5312441772	0
2023.52093097143	54888.0718848446	0
2023.53064917714	62339.9808357995	0
2023.54036738285	28382.6733038453	0
2023.55008558856	44477.3630748288	0
2023.55980379427	72692.7886138248	0
2023.56952199998	107251.151136562	0
2023.57924020569	65317.3830556696	0
2023.5889584114	26975.9009960999	0
2023.59867661711	38020.7772683219	0
2023.60839482282	39972.1565938984	0
2023.61811302853	69784.6168421396	0
2023.62783123424	82293.0270653913	0
2023.63754943995	102382.890829982	0
2023.64726764566	112450.802322584	0
2023.65698585137	116400.780315122	0
2023.66670405709	124574.063625734	0
2023.6764222628	123878.526302762	2
2023.68614046851	159834.066391327	2
2023.69585867422	168323.325844462	3
2023.70557687993	170508.570353141	4
2023.71529508564	189238.522221592	5
2023.72501329135	184740.274328773	6
2023.73473149706	213382.89972087	8
2023.74444970277	243764.080062307	12
2023.75416790848	284122.369499684	19
2023.76388611419	336021.9905912	36
2023.7736043199	328133.299491654	76
2023.78332252561	371814.686325575	87
2023.79304073132	384306.256845838	97
2023.80275893703	415067.832055514	92
2023.81247714274	397882.336705237	54
2023.82219534845	387953.921308113	44
2023.83191355416	199287.92846119	22
2023.84163175987	153922.213368373	22
2023.85134996558	183332.105211892	22
2023.86106817129	412906.814584535	26
2023.870786377	650483.742164743	29
2023.88050458271	460956.635247934	35
2023.89022278842	293934.869430875	40
2023.89994099413	171093.396095974	41
2023.90965919985	124775.649859168	37
2023.91937740556	209442.788804388	38
2023.92909561127	182859.966298934	37
2023.93881381698	152791.817315334	32
2023.94853202269	126776.701245152	34
2023.9582502284	108394.216192558	31
2023.96796843411	96701.8038580971	26
2023.97768663982	79778.6216145564	23
2023.98740484553	71973.924386969	24
2023.99712305124	71779.412053972	17
2024.00684125695	96986.1548064216	36
2024.01655946266	227520.552315308	57
2024.02627766837	316767.342204921	60
2024.03599587408	310036.892346232	62
2024.04571407979	356958.907383823	50.5
2024.0554322855	322528.721980479	29
2024.06515049121	77419.9283489423	23
2024.07486869692	57558.9594165696	33
2024.08458690263	68432.1113595432	39
2024.09430510834	52727.0988847389	52
2024.10402331405	55520.9922344064	60
2024.11374151976	60662.0070779531	80
2024.12345972547	73906.0539267565	91
2024.13317793118	70868.3744545243	87
2024.14289613689	67946.5532516818	81
2024.1526143426	60621.0047429278	62.5
2024.16233254832	40076.5415849812	48
2024.17205075403	25176.935947117	34
2024.18176895974	17520.2406371781	29
2024.19148716545	14354.0321483177	26
2024.20120537116	11365.422448895	19
2024.21092357687	10834.7648790802	19
2024.22064178258	23004.2214178917	18
2024.23035998829	26557.9572367815	17
2024.240078194	66526.0194140551	19
2024.24979639971	63217.9062529293	17
2024.25951460542	47215.7219282901	12
2024.26923281113	45375.5563531084	12
2024.27895101684	25388.5171928404	11
2024.28866922255	26356.4914889682	9
2024.29838742826	23890.6212459351	9
2024.30810563397	24852.0396158151	9
2024.31782383968	15932.5133512647	7
2024.32754204539	9594.29317320238	5
2024.3372602511	5447.45900616639	3
2024.34697845681	86.0995843815396	1
2024.35669666252	NA	0
2024.36641486823	NA	0
2024.37613307394	1251.33641548304	1
2024.38585127965	907.847882477875	1
