time	diffusion_coefficient	number_of_branches
2023.42117341851	17049.3924867975	0.002
2023.42574063259	20424.7220933213	0.002
2023.43030784666	23802.3137927274	0.002
2023.43487506074	27182.1640562068	0.002
2023.43944227482	30564.2693558356	0.002
2023.44400948889	NA	0
2023.44857670297	NA	0
2023.45314391705	NA	0
2023.45771113112	7652.28911947159	0.002
2023.4622783452	16706.1885728304	0.002
2023.46684555928	25774.7643167075	0.002
2023.47141277335	34857.9832864603	0.002
2023.47597998743	43955.8124127088	0.002
2023.48054720151	28359.7346075103	0.006
2023.48511441559	59472.1403468419	0.006
2023.48968162966	90523.0498066994	0.006
2023.49424884374	59483.6830353407	0.016
2023.49881605782	70360.4181565315	0.015
2023.50338327189	69121.9881413405	0.018
2023.50795048597	87595.9041315182	0.018
2023.51251770005	86818.9634142952	0.024
2023.51708491412	99028.7321216469	0.026
2023.5216521282	117109.42035376	0.026
2023.52621934228	64960.8701081727	0.0260000000000001
2023.53078655635	72192.4310119251	0.0280000000000001
2023.53535377043	37917.4101350395	0.0260000000000001
2023.53992098451	43306.6255212292	0.031
2023.54448819858	52146.5970744524	0.0379999999999999
2023.54905541266	56365.9161604821	0.054
2023.55362262674	67526.2205133958	0.064
2023.55818984082	102595.469488314	0.072
2023.56275705489	130263.379268841	0.08
2023.56732426897	170588.980269955	0.0799999999999999
2023.57189148305	184860.103086619	0.0880000000000002
2023.57645869712	193741.358007893	0.103
2023.5810259112	161522.060183341	0.106
2023.58559312528	134372.843213227	0.124
2023.59016033935	120612.865238822	0.137
2023.59472755343	130834.250482592	0.135
2023.59929476751	144345.842656502	0.141
2023.60386198158	160260.294781918	0.159
2023.60842919566	133835.03010098	0.221
2023.61299640974	149681.205573893	0.245
2023.61756362382	167796.333851272	0.264
2023.62213083789	189358.978674976	0.294
2023.62669805197	183033.471444649	0.317
2023.63126526605	191933.517218521	0.352
2023.63583248012	226083.602415572	0.42
2023.6403996942	276487.627066682	0.532
2023.64496690828	285450.112523216	0.6
2023.64953412235	305705.412086884	0.662
2023.65410133643	294625.839377628	0.8
2023.65866855051	304498.538291191	0.986
2023.66323576458	302197.332709206	1.166
2023.66780297866	320859.065782228	1.434
2023.67237019274	338210.525393395	1.642
2023.67693740681	312327.101752713	1.914
2023.68150462089	317127.804660997	2.218
2023.68607183497	338993.834843701	2.473
2023.69063904905	343582.257660458	2.714
2023.69520626312	351514.473860587	3.118
2023.6997734772	353266.619071593	3.488
2023.70434069128	341002.701534146	3.946
2023.70890790535	350004.416583539	4.324
2023.71347511943	336932.804055737	4.855
2023.71804233351	321464.105142272	5.444
2023.72260954758	313658.499283817	6.13
2023.72717676166	316993.755243273	6.953
2023.73174397574	321658.249851791	7.868
2023.73631118981	317132.757525393	9.031
2023.74087840389	322525.192324217	10.58
2023.74544561797	327921.162719265	12.53
2023.75001283205	341639.617238239	15.01
2023.75458004612	359924.165878371	18.263
2023.7591472602	391667.285682628	22.98
2023.76371447428	424186.504669237	30.347
2023.76828168835	444885.164188495	42.585
2023.77284890243	458112.493714568	50.008
2023.77741611651	484858.240683587	51.531
2023.78198333058	502915.342400239	53.489
2023.78655054466	511422.587946418	55.253
2023.79111775874	509020.233765556	56.129
2023.79568497281	510200.437649777	54.401
2023.80025218689	499298.753928231	51.735
2023.80481940097	479817.055993468	46.779
2023.80938661504	440280.865062143	36.699
2023.81395382912	435835.630793009	25.632
2023.8185210432	385224.219986119	23.168
2023.82308825728	340398.3148609	20.156
2023.82765547135	323227.497476276	15.003
2023.83222268543	327062.637915048	9.949
2023.83678989951	283278.325319496	10.579
2023.84135711358	251812.423719121	10.339
2023.84592432766	228045.200320072	10.035
2023.85049154174	342369.554769709	10.619
2023.85505875581	318487.843826745	10.33
2023.85962596989	283521.710792728	9.655
2023.86419318397	248990.854572243	8.893
2023.86876039804	216691.037161962	8.194
2023.87332761212	184417.466113233	7.42
