time	diffusion_coefficient	number_of_branches
2023.42117341851	17049.3924867975	0.002
2023.42574063259	20424.7220933213	0.002
2023.43030784666	23802.3137927274	0.002
2023.43487506074	27182.1640562068	0.002
2023.43944227482	30564.2693558356	0.002
2023.44400948889	NA	0
2023.44857670297	NA	0
2023.45314391705	NA	0
2023.45771113112	7652.28911947159	0.002
2023.4622783452	16706.1885728304	0.002
2023.46684555928	25774.7643167075	0.002
2023.47141277335	34857.9832864603	0.002
2023.47597998743	43955.8124127088	0.002
2023.48054720151	28359.7346075103	0.006
2023.48511441559	59472.1403468419	0.006
2023.48968162966	90523.0498066994	0.006
2023.49424884374	59483.6830353407	0.016
2023.49881605782	70360.4181565315	0.015
2023.50338327189	69121.9881413405	0.018
2023.50795048597	87595.9041315182	0.018
2023.51251770005	86818.9634142952	0.024
2023.51708491412	99028.7321216469	0.026
2023.5216521282	117109.42035376	0.026
2023.52621934228	64960.8701081726	0.0260000000000001
2023.53078655635	72192.4310119251	0.0280000000000001
2023.53535377043	37917.4101350395	0.0260000000000001
2023.53992098451	43306.6255212292	0.031
2023.54448819858	52146.5970744524	0.0379999999999999
2023.54905541266	56365.9161604821	0.054
2023.55362262674	67526.2205133958	0.064
2023.55818984082	105606.828043227	0.072
2023.56275705489	130443.523280591	0.08
2023.56732426897	169733.702336095	0.0799999999999999
2023.57189148305	183602.212613273	0.0880000000000002
2023.57645869712	192825.222604229	0.103
2023.5810259112	198635.984357245	0.106
2023.58559312528	174355.235038032	0.124
2023.59016033935	143387.93242074	0.137
2023.59472755343	145313.489773689	0.135
2023.59929476751	149386.505057101	0.141
2023.60386198158	159953.903803757	0.159
2023.60842919566	138849.556240046	0.221
2023.61299640974	150565.074372554	0.245
2023.61756362382	167745.995268459	0.264
2023.62213083789	187211.653084657	0.294
2023.62669805197	185778.837372395	0.317
2023.63126526605	190164.952107394	0.352
2023.63583248012	236481.186212955	0.42
2023.6403996942	294682.34106072	0.532
2023.64496690828	298451.128811072	0.6
2023.64953412235	311570.014477503	0.662
2023.65410133643	296481.547056934	0.8
2023.65866855051	302702.098211424	0.986
2023.66323576458	297810.209904171	1.166
2023.66780297866	326891.56797331	1.434
2023.67237019274	345018.777865312	1.642
2023.67693740681	324097.852062694	1.914
2023.68150462089	353606.94234677	2.218
2023.68607183497	377091.140767538	2.473
2023.69063904905	371620.142732785	2.714
2023.69520626312	391761.944948822	3.118
2023.6997734772	416985.190833726	3.488
2023.70434069128	404369.309442784	3.946
2023.70890790535	402363.602088119	4.324
2023.71347511943	403768.357113522	4.855
2023.71804233351	370191.583078532	5.444
2023.72260954758	368986.420314708	6.13
2023.72717676166	350704.767732632	6.953
2023.73174397574	356873.844747381	7.868
2023.73631118981	351026.082827848	9.031
2023.74087840389	348080.80885671	10.58
2023.74544561797	343575.812026234	12.53
2023.75001283205	357278.383390386	15.01
2023.75458004612	385865.079035243	18.263
2023.7591472602	415228.769668666	22.98
2023.76371447428	453470.853564893	30.347
2023.76828168835	483884.484420485	42.585
2023.77284890243	473224.662024653	50.008
2023.77741611651	479457.500515593	51.531
2023.78198333058	492196.629897794	53.489
2023.78655054466	501153.63174407	55.253
2023.79111775874	498349.833957034	56.129
2023.79568497281	493888.269375574	54.401
2023.80025218689	492866.281112558	51.735
2023.80481940097	499343.876366334	46.779
2023.80938661504	503166.705475238	36.699
2023.81395382912	465947.292043203	25.632
2023.8185210432	440834.466114645	23.168
2023.82308825728	428588.424405607	20.156
2023.82765547135	408824.147715046	15.003
2023.83222268543	362883.459061722	9.949
2023.83678989951	314102.559662402	10.579
2023.84135711358	274093.989847923	10.339
2023.84592432766	254790.305701419	10.035
2023.85049154174	482454.969761232	10.619
2023.85505875581	416298.03223635	10.33
2023.85962596989	374005.791301812	9.655
2023.86419318397	332334.731838817	8.893
2023.86876039804	291492.638811984	8.194
2023.87332761212	252061.153488169	7.42
