time	diffusion_coefficient	number_of_branches
2023.49176484605	21588.4410817709	0
2023.49690347583	30522.7744001032	0
2023.50204210561	15459.6469266558	0
2023.50718073539	16150.2818091118	0
2023.51231936517	11041.9285757648	0
2023.51745799495	4068.64311307204	0
2023.52259662474	6350.42834055351	0
2023.52773525452	11789.2770453698	0
2023.5328738843	19431.8440581267	0
2023.53801251408	26405.8160881729	0
2023.54315114386	22874.2179789152	0
2023.54828977364	29745.1703062024	0
2023.55342840342	33993.1372886615	0
2023.5585670332	38312.737069029	0
2023.56370566298	30385.1334791197	0
2023.56884429276	31468.1295211306	0
2023.57398292254	28525.8481000624	0
2023.57912155232	34617.0489031788	0
2023.5842601821	29499.4993933024	0
2023.58939881189	30372.6185892665	0
2023.59453744167	33331.9148885633	0
2023.59967607145	41166.8882801805	0
2023.60481470123	41340.4466353807	0
2023.60995333101	38048.0171120187	0
2023.61509196079	42408.9017588632	0
2023.62023059057	47650.4940708319	2
2023.62536922035	51467.1556189443	2
2023.63050785013	59934.6534800163	2
2023.63564647991	66120.6399900436	2
2023.64078510969	71592.8258282997	3
2023.64592373947	78816.4842259321	4
2023.65106236926	86915.4288255566	4
2023.65620099904	101173.634132307	5
2023.66133962882	111094.813212649	6
2023.6664782586	132793.475172832	8
2023.67161688838	153995.193967953	10
2023.67675551816	174766.939696409	12
2023.68189414794	203040.314290346	16
2023.68703277772	213544.935672559	24
2023.6921714075	168000.193307482	43
2023.69731003728	178914.106066057	42
2023.70244866706	186678.230691471	42
2023.70758729684	194178.456344675	42
2023.71272592662	194094.536242154	41
2023.71786455641	187983.915990629	39
2023.72300318619	178757.360641647	37
2023.72814181597	161623.364859425	31
2023.73328044575	117732.399499247	10
2023.73841907553	115699.376931711	7
2023.74355770531	105851.645795543	7
2023.74869633509	93318.7574796943	7
2023.75383496487	86034.3472638518	7
2023.75897359465	76659.728501542	7
2023.76411222443	67303.9857000995	7
2023.76925085421	61244.3939800029	7
2023.77438948399	57378.0321031096	7
2023.77952811378	52782.7926367437	7
2023.78466674356	69761.00663515	9
2023.78980537334	67881.5004340727	9
2023.79494400312	62631.2785193012	8
2023.8000826329	59545.289987565	8
2023.80522126268	54139.9075495181	9
2023.81035989246	49593.4815076733	9
2023.81549852224	45649.8247321689	9
2023.82063715202	41837.0233527442	9
2023.8257757818	48511.9312712611	9
2023.83091441158	49139.7497391741	9
2023.83605304136	53682.9099715218	10
2023.84119167114	57469.5053863542	11
2023.84633030093	66289.0430796716	12
2023.85146893071	72893.3631405357	13
2023.85660756049	78870.790086009	14
2023.86174619027	98574.6234273102	16
2023.86688482005	90343.6704233964	17
2023.87202344983	81779.2271883604	17
2023.87716207961	71241.2305774339	18
2023.88230070939	77142.8594240929	19
2023.88743933917	65842.6710891604	19
2023.89257796895	57771.3829837184	19
2023.89771659873	51600.9605519924	18
2023.90285522851	52349.7114246151	16
2023.9079938583	50562.4233157951	16
2023.91313248808	45882.1152802432	16
2023.91827111786	40826.3287673527	17
2023.92340974764	40671.0688666434	15
2023.92854837742	39142.0349809006	16
2023.9336870072	37214.4511957497	15
2023.93882563698	36335.7321394434	15
2023.94396426676	34806.5997655222	15
2023.94910289654	41669.2183460197	17
2023.95424152632	39957.9840397213	17
2023.9593801561	37746.8437297703	17
2023.96451878588	39642.9968964766	15
2023.96965741566	39764.7387457398	14
2023.97479604545	36315.4662131332	14
2023.97993467523	31296.4197033969	14
2023.98507330501	24715.878212639	14
2023.99021193479	23116.4052210963	10
2023.99535056457	22232.5272489288	7
2024.00048919435	19690.4901846325	5
