time	diffusion_coefficient	number_of_branches
2023.49176484605	23694.8831841636	0
2023.49690347583	33500.6177265585	0
2023.50204210561	15459.6469266558	0
2023.50718073539	16150.2818091118	0
2023.51231936517	11689.3139877401	0
2023.51745799495	6630.68170149065	0
2023.52259662474	10613.7511660726	0
2023.52773525452	19082.1264928966	0
2023.5328738843	25503.7806374073	0
2023.53801251408	36001.9503601911	0
2023.54315114386	31395.0254858201	0
2023.54828977364	39993.264639509	0
2023.55342840342	50941.6625642905	0
2023.5585670332	58182.6518142173	0
2023.56370566298	53451.9054100953	0
2023.56884429276	52218.2425313656	0
2023.57398292254	50408.5672505346	0
2023.57912155232	66735.610063553	0
2023.5842601821	43794.0049461371	0
2023.58939881189	46090.4685561415	0
2023.59453744167	54467.3604959964	0
2023.59967607145	70163.1136299666	0
2023.60481470123	73088.6644871449	0
2023.60995333101	68564.425537184	0
2023.61509196079	80729.5365826804	0
2023.62023059057	92500.3932951056	2
2023.62536922035	105481.098115881	2
2023.63050785013	133568.362557491	2
2023.63564647991	162193.697129421	2
2023.64078510969	178633.341546404	3
2023.64592373947	217431.795566613	4
2023.65106236926	270896.163630569	4
2023.65620099904	332028.464521559	5
2023.66133962882	426274.936126815	6
2023.6664782586	561185.299055465	8
2023.67161688838	764898.265713735	10
2023.67675551816	1055790.69539997	12
2023.68189414794	1512385.35612855	16
2023.68703277772	2059950.5562722	24
2023.6921714075	2645443.22151428	43
2023.69731003728	2709222.73831085	42
2023.70244866706	2741823.33219047	42
2023.70758729684	2760724.2873266	42
2023.71272592662	2724864.08659768	41
2023.71786455641	2561209.45276673	39
2023.72300318619	2310092.51974545	37
2023.72814181597	1790258.88889876	31
2023.73328044575	605311.811897148	10
2023.73841907553	432415.865416631	7
2023.74355770531	386219.255469798	7
2023.74869633509	345662.63176124	7
2023.75383496487	315490.935515509	7
2023.75897359465	298045.733536925	7
2023.76411222443	269246.055420261	7
2023.76925085421	251229.972641852	7
2023.77438948399	230241.577242432	7
2023.77952811378	218551.089993294	7
2023.78466674356	361887.156759295	9
2023.78980537334	339207.481424894	9
2023.79494400312	311598.33811869	8
2023.8000826329	291929.710301867	8
2023.80522126268	272077.03471332	9
2023.81035989246	249285.956389758	9
2023.81549852224	228347.605133768	9
2023.82063715202	220663.18908532	9
2023.8257757818	227864.738262616	9
2023.83091441158	243199.242022888	9
2023.83605304136	268013.411244426	10
2023.84119167114	318997.246649425	11
2023.84633030093	383213.531016792	12
2023.85146893071	460949.636342802	13
2023.85660756049	531356.583376065	14
2023.86174619027	792511.235518213	16
2023.86688482005	720957.649624158	17
2023.87202344983	651619.022323489	17
2023.87716207961	599127.345951248	18
2023.88230070939	758285.828807617	19
2023.88743933917	628353.760622446	19
2023.89257796895	549763.487801651	19
2023.89771659873	463636.627162656	18
2023.90285522851	387645.312007135	16
2023.9079938583	357792.933172537	16
2023.91313248808	334363.081373045	16
2023.91827111786	302574.211287981	17
2023.92340974764	292009.444327965	15
2023.92854837742	274058.229788863	16
2023.9336870072	268724.238406099	15
2023.93882563698	252593.022008224	15
2023.94396426676	244227.701076748	15
2023.94910289654	345276.494642032	17
2023.95424152632	330464.554979827	17
2023.9593801561	324989.905460071	17
2023.96451878588	303979.467541298	15
2023.96965741566	286333.378240112	14
2023.97479604545	261682.031734713	14
2023.97993467523	217530.897559719	14
2023.98507330501	167420.534554196	14
2023.99021193479	119660.061780161	10
2023.99535056457	83463.8149386927	7
2024.00048919435	56984.7071289657	5
