time	diffusion_coefficient	number_of_branches
2023.42374891433	18952.4948711181	0.002
2023.43346712004	26140.0128603709	0.002
2023.44318532575	NA	0
2023.45290353146	NA	0
2023.46262173717	12542.0806153402	0.004
2023.47233994288	26460.2054507334	0.004
2023.48205814859	30821.2872476738	0.00799999999999999
2023.4917763543	55478.0174756015	0.014
2023.50149456001	75484.7634896823	0.018
2023.51121276572	82606.7801328249	0.028
2023.52093097143	115878.050628504	0.03
2023.53064917714	74011.1918428806	0.032
2023.54036738285	45303.9955692425	0.034
2023.55008558856	47187.7278713189	0.052
2023.55980379427	109204.969862433	0.0779999999999999
2023.56952199998	180701.609510553	0.0859999999999998
2023.57924020569	149444.843415622	0.111
2023.5889584114	101979.770082262	0.149
2023.59867661711	115415.85299531	0.159
2023.60839482282	113813.97829362	0.235
2023.61811302853	147589.84034144	0.285
2023.62783123424	175845.389119626	0.36
2023.63754943995	236011.369457817	0.48
2023.64726764566	291821.447753831	0.641
2023.65698585137	301713.475984934	0.94
2023.66670405709	301717.825609644	1.43
2023.6764222628	306584.70296206	1.922
2023.68614046851	336569.508157085	2.518
2023.69585867422	353921.268198308	3.206
2023.70557687993	333022.07522471	4.202
2023.71529508564	326436.276800147	5.202
2023.72501329135	309463.875778113	6.796
2023.73473149706	311282.480447821	8.966
2023.74444970277	311588.938887938	12.9
2023.75416790848	335877.90508079	19.763
2023.76388611419	374161.144962319	36.632
2023.7736043199	348196.40598989	73.761
2023.78332252561	380195.236178084	84.556
2023.79304073132	376910.832179816	95.826
2023.80275893703	380971.35252454	90.854
2023.81247714274	322729.522064485	53.534
2023.82219534845	267435.231796265	44.17
2023.83191355416	215090.586053516	24.487
2023.84163175987	180529.129180615	23.588
2023.85134996558	221569.379287687	23.274
2023.86106817129	460186.313921951	26.758
2023.870786377	379490.213251854	30.224
2023.88050458271	284947.214149541	34.723
2023.89022278842	188924.502271719	38.5
2023.89994099413	118241.761482407	39.739
2023.90965919985	131815.72437204	35.905
2023.91937740556	229159.16763683	37.998
2023.92909561127	196967.532805196	37.35
2023.93881381698	167612.294150737	33.345
2023.94853202269	143250.112203754	34.565
2023.9582502284	127083.886496387	32
2023.96796843411	118529.922329829	26.892
2023.97768663982	102795.576244537	24.434
2023.98740484553	86987.2276679751	25.575
2023.99712305124	89094.8225361391	18.457
2024.00684125695	114625.912180686	36.693
2024.01655946266	261358.07575436	54.967
2024.02627766837	336587.413805685	58.337
2024.03599587408	325622.768445022	60.425
2024.04571407979	374022.713918012	50.29
2024.0554322855	376399.916681981	29.715
2024.06515049121	94056.792350496	23.745
2024.07486869692	68432.5141257231	33.569
2024.08458690263	76727.3632950405	39.381
2024.09430510834	59100.9454420111	52.53
2024.10402331405	62538.7248894738	61.328
2024.11374151976	66266.6180251984	80.094
2024.12345972547	85178.3262019222	90.771
2024.13317793118	82895.2631782501	86.717
2024.14289613689	80841.51395146	80.311
2024.1526143426	74919.8179146853	62.51
2024.16233254832	57127.8972896058	48.273
2024.17205075403	29724.8659571366	34.012
2024.18176895974	20720.404687703	29.494
2024.19148716545	18823.4881151386	26.163
2024.20120537116	16906.1008082742	18.716
2024.21092357687	16521.0984504547	19.155
2024.22064178258	63501.049051712	18.108
2024.23035998829	72074.6430126907	16.333
2024.240078194	138981.016678674	17.762
2024.24979639971	137966.150604506	16.993
2024.25951460542	109605.284378807	12.865
2024.26923281113	111388.885673317	12.231
2024.27895101684	99786.9979773234	10.351
2024.28866922255	32868.6883850334	8.825
2024.29838742826	29455.329636188	8.694
2024.30810563397	29897.0815064619	8.392
2024.31782383968	20654.5295362249	7.828
2024.32754204539	12345.953348228	5.034
2024.3372602511	5656.39093298165	3
2024.34697845681	147.020858350119	1
2024.35669666252	NA	0
2024.36641486823	NA	0
2024.37613307394	3696.56120844389	1
2024.38585127965	2682.62056708407	1
