time	diffusion_coefficient	number_of_branches
2023.42374891433	18952.4948711181	0
2023.43346712004	26140.0128603709	0
2023.44318532575	NA	0
2023.45290353146	NA	0
2023.46262173717	12542.0806153402	0
2023.47233994288	26460.2054507334	0
2023.48205814859	31688.0625990843	0
2023.4917763543	28390.5126889876	0
2023.50149456001	27590.17308507	0
2023.51121276572	24828.5312441772	0
2023.52093097143	54888.0718848446	0
2023.53064917714	62339.9808357995	0
2023.54036738285	28382.6733038453	0
2023.55008558856	44477.3630748288	0
2023.55980379427	72692.7886138248	0
2023.56952199998	101171.073065841	0
2023.57924020569	57086.0868421947	0
2023.5889584114	26975.9009960999	0
2023.59867661711	37575.3580613218	0
2023.60839482282	39972.1565938984	0
2023.61811302853	70859.0257296705	0
2023.62783123424	84060.509880364	0
2023.63754943995	103160.296561049	0
2023.64726764566	111894.678939788	0
2023.65698585137	101118.491631654	0
2023.66670405709	121516.571238548	0
2023.6764222628	136477.0076981	2
2023.68614046851	154772.987762432	2
2023.69585867422	172647.23074761	3
2023.70557687993	175580.075811195	4
2023.71529508564	195417.172594791	5
2023.72501329135	198688.384334283	6
2023.73473149706	220693.326263715	8
2023.74444970277	251598.867242119	12
2023.75416790848	304915.591884852	19
2023.76388611419	361212.541974894	36
2023.7736043199	343261.182751094	76
2023.78332252561	338098.756342283	87
2023.79304073132	340213.307247377	96
2023.80275893703	353103.824030477	91
2023.81247714274	306962.498153868	53
2023.82219534845	272660.063395972	43
2023.83191355416	200256.520470363	22
2023.84163175987	170229.12068113	22
2023.85134996558	255293.766796837	22
2023.86106817129	643797.253847078	26
2023.870786377	460492.402781348	28
2023.88050458271	303797.684285876	34
2023.89022278842	179055.65469007	39
2023.89994099413	115957.452429504	40
2023.90965919985	130011.749722759	36
2023.91937740556	294377.65370234	38
2023.92909561127	217245.797604945	37
2023.93881381698	154969.807862913	32
2023.94853202269	136317.004141455	34
2023.9582502284	128232.97662238	31
2023.96796843411	99867.0663187955	26
2023.97768663982	78952.7725112431	23
2023.98740484553	95475.4454041909	24
2023.99712305124	86714.5071154349	17
2024.00684125695	97253.405054333	36
2024.01655946266	150407.844062684	57
2024.02627766837	262611.257534285	60
2024.03599587408	263428.36639274	62
2024.04571407979	273510.18500519	50.5
2024.0554322855	193144.185534136	29
2024.06515049121	81863.7879940121	23
2024.07486869692	53744.1592077482	33
2024.08458690263	66360.4370580925	39
2024.09430510834	53181.3826679704	52
2024.10402331405	53899.41103874	60
2024.11374151976	47303.5227234558	80
2024.12345972547	44112.5970968233	91
2024.13317793118	39525.3212894286	87
2024.14289613689	36648.7572876166	81
2024.1526143426	33791.8138733687	62.5
2024.16233254832	33057.7960414716	48
2024.17205075403	24875.8428387008	34
2024.18176895974	17630.7326626017	29
2024.19148716545	17197.2082373339	26
2024.20120537116	14261.0485191836	19
2024.21092357687	12939.7197572213	19
2024.22064178258	14039.4951734735	18
2024.23035998829	16867.2940017227	17
2024.240078194	37053.8462649968	19
2024.24979639971	39616.4794652778	17
2024.25951460542	22898.9364317205	12
2024.26923281113	29170.832590425	12
2024.27895101684	16081.458880968	11
2024.28866922255	38163.9082400944	9
2024.29838742826	37568.2427527463	9
2024.30810563397	24624.3229298153	9
2024.31782383968	17320.4647054941	7
2024.32754204539	11216.5334432868	5
2024.3372602511	5467.71353535502	3
2024.34697845681	86.0995843815396	1
2024.35669666252	NA	0
2024.36641486823	NA	0
2024.37613307394	1251.33641548304	1
2024.38585127965	907.847882477875	1
