trait,country,admin1,admin2,collection_date
EPI_ISL_18739165|A/chicken/Maryland/23-036657-001/2023|H5N1|USA-MD|2023-11-19|avian|C2.1,USA,MD,Caroline,2023-11-19
EPI_ISL_18741793|A/chicken/Maryland/23-036719-001/2023|H5N1|USA-MD|2023-11-16|avian|C2.1,USA,MD,Caroline,2023-11-16
EPI_ISL_19194251|A/chicken/Vermont/23-038532-001/2023|H5N1|USA-VT|2023-12-05|avian|C2.1,USA,VT,Orleans,2023-12-05
EPI_ISL_18914528|A/chicken/Maine/24-000724-001/2024|H5N1|USA-ME|2024-01-08|avian|C2.1,USA,ME,York,2024-01-08
EPI_ISL_19341025|A/chicken/South_Carolina/24-001296-005/2024|H5N1|USA-SC|2024-01-11|avian|C2.1,USA,SC,Horry,2024-01-11
EPI_ISL_19094441|A/chicken/Maine/24-007946-001/2024|H5N1|USA-ME|2024-03-13|avian|C2.1,USA,ME,Knox,2024-03-13
EPI_ISL_19134599|A/wood_duck/South_Carolina/W23-970B/2023|H5N1|USA-SC|2023-12-20|avian|C2.1,USA,SC,Clarendon,2023-12-20
EPI_ISL_19134619|A/wood_duck/South_Carolina/W24-007E/2023|H5N1|USA-SC|2023-12-20|avian|C2.1,USA,SC,Clarendon,2023-12-20
EPI_ISL_19134600|A/wood_duck/North_Carolina/W24-011A/2023|H5N1|USA-NC|2023-12-21|avian|C2.1,USA,NC,Hyde,2023-12-21
EPI_ISL_19064404|A/wood_duck/North_Carolina/W24-026/2024|H5N1|USA-NC|2024-01-04|avian|C2.1,USA,NC,Carteret,2024-01-04
EPI_ISL_19064388|A/hooded_merganser/South_Carolina/W24-028/2024|H5N1|USA-SC|2024-01-10|avian|C2.1,USA,SC,Georgetown,2024-01-10
EPI_ISL_19134613|A/American_white_pelican/North_Carolina/W24-84/2024|H5N1|USA-NC|2024-01-23|avian|C2.1,USA,NC,Dare,2024-01-23
EPI_ISL_19134610|A/Canada_goose/North_Carolina/W24-90A/2024|H5N1|USA-NC|2024-02-06|avian|C2.1,USA,NC,Buncombe,2024-02-06
EPI_ISL_19736853|A/corvus_ossifragus/Massachusetts/000869-001/2023|H5N1|USA-MA|2023-12-12|avian|C2.1,USA,MA,Barnstable,2023-12-12
EPI_ISL_19737350|A/great_black-backed_gulll/Massachusetts/000869-002/2023|H5N1|USA-MA|2023-12-24|avian|C2.1,USA,MA,Barnstable,2023-12-24
EPI_ISL_19736851|A/lesser_scaup/Massachusetts/004865-003/2024|H5N1|USA-MA|2024-02-03|avian|C2.1,USA,MA,Suffolk,2024-02-03
EPI_ISL_19736849|A/canada_goose/Massachusetts/004865-005/2023|H5N1|USA-MA|2023-12-21|avian|C2.1,USA,MA,Norfolk,2023-12-21
EPI_ISL_19736848|A/canada_goose/Massachusetts/004865-006/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,USA,MA,Essex,2024-02-05
EPI_ISL_19736846|A/canada_goose/Massachusetts/004865-007/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,USA,MA,Essex,2024-02-05
EPI_ISL_19736782|A/canada_goose/Massachusetts/004865-009/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,USA,MA,Essex,2024-02-05
EPI_ISL_19736781|A/canada_goose/Massachusetts/004865-010/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,USA,MA,Essex,2024-02-05
EPI_ISL_19736780|A/canada_goose/Massachusetts/004865-011/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,USA,MA,Essex,2024-02-05
EPI_ISL_19736776|A/canada_goose/Massachusetts/004865-016/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,USA,MA,Essex,2024-02-05
EPI_ISL_19736775|A/canada_goose/Massachusetts/004865-018/2024|H5N1|USA-MA|2024-01-13|avian|C2.1,USA,MA,Barnstable,2024-01-13
EPI_ISL_19736844|A/red-tailed_hawk/Massachusetts/004865-019/2024|H5N1|USA-MA|2024-01-13|avian|C2.1,USA,MA,Barnstable,2024-01-13
EPI_ISL_19736831|A/canada_goose/Massachusetts/007606-008/2024|H5N1|USA-MA|2024-02-16|avian|C2.1,USA,MA,Middlesex,2024-02-16
EPI_ISL_19736828|A/white-winged_scoter/Massachusetts/007607-001/2024|H5N1|USA-MA|2024-02-21|avian|C2.1,USA,MA,Essex,2024-02-21
EPI_ISL_19736827|A/white-winged_scoter/Massachusetts/007607-002/2024|H5N1|USA-MA|2024-02-21|avian|C2.1,USA,MA,Essex,2024-02-21
EPI_ISL_19736770|A/sanderling/Massachusetts/007607-006/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,USA,MA,Barnstable,2024-03-07
EPI_ISL_19737347|A/red-tailed_hawk/Massachusetts/007607-009/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,USA,MA,Barnstable,2024-03-07
EPI_ISL_19736824|A/common_eider/Massachusetts/007607-010/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,USA,MA,Barnstable,2024-03-07
EPI_ISL_19736823|A/common_loon/Massachusetts/007608-006/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,USA,MA,Essex,2024-03-07
EPI_ISL_19736822|A/common_loon/Massachusetts/007608-007/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,USA,MA,Essex,2024-03-07
EPI_ISL_19736821|A/common_loon/Massachusetts/007608-009/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,USA,MA,Essex,2024-03-07
EPI_ISL_19736819|A/white-winged_scoter/Massachusetts/007609-001/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,USA,MA,Essex,2024-02-23
EPI_ISL_19736812|A/herring_gull/Massachusetts/007609-008/2024|H5N1|USA-MA|2024-03-03|avian|C2.1,USA,MA,Essex,2024-03-03
EPI_ISL_19736810|A/great_black-backed_gull/Massachusetts/007609-010/2024|H5N1|USA-MA|2024-02-18|avian|C2.1,USA,MA,Barnstable,2024-02-18
EPI_ISL_19736808|A/sanderling/Massachusetts/007610-003/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,USA,MA,Barnstable,2024-02-23
EPI_ISL_19736807|A/sanderling/Massachusetts/007610-004/2024|H5N1|USA-MA|2024-02-24|avian|C2.1,USA,MA,Barnstable,2024-02-24
EPI_ISL_19736763|A/great_black-backed_gull/Massachusetts/007610-006/2024|H5N1|USA-MA|2024-02-27|avian|C2.1,USA,MA,Barnstable,2024-02-27
EPI_ISL_19736804|A/white-winged_scoter/Massachusetts/014126-002/2024|H5N1|USA-MA|2024-02-27|avian|C2.1,USA,MA,Essex,2024-02-27
EPI_ISL_19736802|A/white-winged_scoter/Massachusetts/014126-003/2024|H5N1|USA-MA|2024-02-26|avian|C2.1,USA,MA,Essex,2024-02-26
EPI_ISL_19736762|A/bald_eagle/Massachusetts/014126-004/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,USA,MA,Worcester,2024-02-23
EPI_ISL_19736761|A/bald_eagle/Massachusetts/014126-005/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,USA,MA,Worcester,2024-02-23
EPI_ISL_19736760|A/white-winged_scoter/Massachusetts/014126-006/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,USA,MA,Worcester,2024-02-23
EPI_ISL_19736801|A/great_black-backed_gull/Massachusetts/014126-008/2024|H5N1|USA-MA|2024-02-28|avian|C2.1,USA,MA,Barnstable,2024-02-28
EPI_ISL_19736800|A/herring_gull/Massachusetts/014126-009/2024|H5N1|USA-MA|2024-03-01|avian|C2.1,USA,MA,Barnstable,2024-03-01
EPI_ISL_19736912|A/white-winged_scoter/Massachusetts/014126-014/2024|H5N1|USA-MA|2024-03-11|avian|C2.1,USA,MA,Essex,2024-03-11
EPI_ISL_19736911|A/common_loon/Massachusetts/014126-015/2024|H5N1|USA-MA|2024-03-11|avian|C2.1,USA,MA,Essex,2024-03-11
EPI_ISL_19736909|A/great_horned_owl/Massachusetts/014126-017/2024|H5N1|USA-MA|2024-03-17|avian|C2.1,USA,MA,Middlesex,2024-03-17
EPI_ISL_19736900|A/great_black-backed_gull/Massachusetts/014126-026/2024|H5N1|USA-MA|2024-03-25|avian|C2.1,USA,MA,Norfolk,2024-03-25
EPI_ISL_19736894|A/canada_goose/Massachusetts/014126-033/2024|H5N1|USA-MA|2024-02-12|avian|C2.1,USA,MA,Essex,2024-02-12
EPI_ISL_19736891|A/common_raven/Massachusetts/014126-036/2024|H5N1|USA-MA|2024-03-26|avian|C2.1,USA,MA,Plymouth,2024-03-26
EPI_ISL_19736889|A/american_crow/Massachusetts/014126-039/2024|H5N1|USA-MA|2024-04-19|avian|C2.1,USA,MA,Barnstable,2024-04-19
EPI_ISL_19736888|A/red-tailed_hawk/Massachusetts/014126-040/2024|H5N1|USA-MA|2024-03-15|avian|C2.1,USA,MA,Suffolk,2024-03-15
EPI_ISL_19736795|A/white-winged_scoter/Massachusetts/014126-041/2024|H5N1|USA-MA|2024-03-15|avian|C2.1,USA,MA,Plymouth,2024-03-15
EPI_ISL_19736794|A/great_black-backed_gull/Massachusetts/014126-043/2024|H5N1|USA-MA|2024-03-18|avian|C2.1,USA,MA,Nantucket,2024-03-18
EPI_ISL_19736792|A/bald_eagle/Massachusetts/014126-048/2024|H5N1|USA-MA|2024-03-27|avian|C2.1,USA,MA,Middlesex,2024-03-27
EPI_ISL_19736887|A/bald_eagle/Massachusetts/014126-049/2024|H5N1|USA-MA|2024-03-27|avian|C2.1,USA,MA,Bristol,2024-03-27
EPI_ISL_19736881|A/sanderling/Massachusetts/014126-056/2024|H5N1|USA-MA|2024-04-05|avian|C2.1,USA,MA,Barnstable,2024-04-05
EPI_ISL_19736880|A/sanderling/Massachusetts/014126-057/2024|H5N1|USA-MA|2024-04-05|avian|C2.1,USA,MA,Unknown,2024-04-05
EPI_ISL_19736875|A/american_crow/Massachusetts/014126-063/2024|H5N1|USA-MA|2024-03-31|avian|C2.1,USA,MA,Barnstable,2024-03-31
EPI_ISL_19736873|A/american_crow/Massachusetts/014126-066/2024|H5N1|USA-MA|2024-04-28|avian|C2.1,USA,MA,Barnstable,2024-04-28
EPI_ISL_19736869|A/scoter/Massachusetts/014126-071/2024|H5N1|USA-MA|2024-04-12|avian|C2.1,USA,MA,Essex,2024-04-12
EPI_ISL_19736787|A/scoter/Massachusetts/014126-072/2024|H5N1|USA-MA|2024-04-12|avian|C2.1,USA,MA,Essex,2024-04-12
EPI_ISL_19736867|A/american_crow/Massachusetts/014126-073/2024|H5N1|USA-MA|2024-04-11|avian|C2.1,USA,MA,Barnstable,2024-04-11
EPI_ISL_19736866|A/american_crow/Maine/014127-001/2024|H5N1|USA-ME|2024-01-30|avian|C2.1,USA,ME,York,2024-01-30
EPI_ISL_19736785|A/canada_goose/New_Hampshire/014129-001/2023|H5N1|USA-NH|2023-12-12|avian|C2.1,USA,NH,Stafford,2023-12-12
EPI_ISL_19736863|A/surf_scoter/Rhode_Island/014130-001/2024|H5N1|USA-RI|2024-03-08|avian|C2.1,USA,RI,Providence,2024-03-08
EPI_ISL_19736859|A/herring_gull/Rhode_Island/014130-006/2024|H5N1|USA-RI|2024-04-23|avian|C2.1,USA,RI,Bristol,2024-04-23
EPI_ISL_19490391|A/green-winged_teal/New_York/23-033302-033-original/2023|H5N1|USA-NY|2023-10-21|avian|C2.1,USA,NY,Genesee,2023-10-21
EPI_ISL_19341011|A/pintail/Florida/23-038109-023-original/2023|H5N1|USA-FL|2023-11-25|avian|C2.1,USA,FL,Brevard,2023-11-25
EPI_ISL_19341014|A/lesser_scaup/Florida/23-038112-015-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1,USA,FL,Brevard,2023-11-18
EPI_ISL_19372782|A/blue-winged_teal/Florida/23-038112-097-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1,USA,FL,Brevard,2023-11-18
EPI_ISL_19560372|A/American_black_duck/New_York/23-038880-007-original/2023|H5N1|USA-NY|2023-12-02|avian|C2.1,USA,NY,Unknown,2023-12-02
EPI_ISL_19560373|A/mallard/New_York/23-038880-010-original/2023|H5N1|USA-NY|2023-12-02|avian|C2.1,USA,NY,Unknown,2023-12-02
EPI_ISL_19224083|A/partridge/New_York/23-039086-005-original/2023|H5N1|USA-NY|2023-12-11|avian|C2.1,USA,NY,Dutchess,2023-12-11
EPI_ISL_19560382|A/ring-necked_duck/Florida/23-039641-001-original/2023|H5N1|USA-FL|2023-12-09|avian|C2.1,USA,FL,Unknown,2023-12-09
EPI_ISL_19560383|A/lesser_scaup/Florida/23-039641-009-original/2023|H5N1|USA-FL|2023-12-09|avian|C2.1,USA,FL,Unknown,2023-12-09
EPI_ISL_19559073|A/ring-necked_duck/Florida/23-039641-014-original/2023|H5N1|USA-FL|2023-12-09|avian|C2.1,USA,FL,Unknown,2023-12-09
EPI_ISL_19560353|A/ring-necked_duck/Florida/23-040586-018-original-kf/2023|H5N1|USA-FL|2023-12-09|avian|C2.1,USA,FL,Unknown,2023-12-09
EPI_ISL_19288895|A/pheasant/Pennsylvania/23-040876-001-original/2023|H5N1|USA-PA|2023-12-21|avian|C2.1,USA,PA,Northumberland,2023-12-21
EPI_ISL_19559096|A/American_black_duck/North_Carolina/23-041152-003-original2/2023|H5N1|USA-NC|2023-12-19|avian|C2.1,USA,NC,Unknown,2023-12-19
EPI_ISL_19660916|A/American_wigeon/North_Carolina/24-000834-003-original/2023|H5N1|USA-NC|2023-12-28|avian|C2.1,USA,NC,Unknown,2023-12-28
EPI_ISL_19372796|A/chicken/Massachusetts/24-001134-001-original/2024|H5N1|USA-MA|2024-01-10|avian|C2.1,USA,MA,Barnstable,2024-01-10
EPI_ISL_19372800|A/chicken/South_Carolina/24-001707-001-original/2024|H5N1|USA-SC|2024-01-09|avian|C2.1,USA,SC,Orangeburg,2024-01-09
EPI_ISL_19660921|A/mallard/Maine/24-002154-009-original/2024|H5N1|USA-ME|2024-01-09|avian|C2.1,USA,ME,Unknown,2024-01-09
EPI_ISL_19490414|A/American_wigeon/North_Carolina/24-002161-002-original/2024|H5N1|USA-NC|2024-01-13|avian|C2.1,USA,NC,Hyde,2024-01-13
EPI_ISL_19490415|A/mallard/New_Hampshire/24-002162-001-original/2024|H5N1|USA-NH|2024-01-17|avian|C2.1,USA,NH,Merrimack,2024-01-17
EPI_ISL_19372807|A/chicken/Maine/24-002533-001-original/2024|H5N1|USA-ME|2024-01-23|avian|C2.1,USA,ME,Kennebec,2024-01-23
EPI_ISL_19372816|A/chicken/Pennsylvania/24-003804-003-original/2024|H5N1|USA-PA|2024-02-03|avian|C2.1,USA,PA,Wayne,2024-02-03
EPI_ISL_19372817|A/chicken/Massachusetts/24-003817-001-original/2024|H5N1|USA-MA|2024-02-02|avian|C2.1,USA,MA,Essex,2024-02-02
EPI_ISL_19387825|A/wood_duck/Mississippi/24-004128-003-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1,USA,MS,Leflore,2024-01-29
EPI_ISL_19387829|A/wood_duck/Mississippi/24-004128-011-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1,USA,MS,Leflore,2024-01-29
EPI_ISL_19372821|A/turkey/North_Carolina/24-004217-001-original/2024|H5N1|USA-NC|2024-02-08|avian|C2.1,USA,NC,Lenoir,2024-02-08
EPI_ISL_19387831|A/wood_duck/Mississippi/24-004235-003-original/2024|H5N1|USA-MS|2024-02-05|avian|C2.1,USA,MS,Grenada,2024-02-05
