trait	country	admin1	admin2	collection_date	latitude	longitude
EPI_ISL_18739165|A/chicken/Maryland/23-036657-001/2023|H5N1|USA-MD|2023-11-19|avian|C2.1	USA	MD	Caroline	2023-11-19	38.9755557949471	-75.9351820911339
EPI_ISL_18741793|A/chicken/Maryland/23-036719-001/2023|H5N1|USA-MD|2023-11-16|avian|C2.1	USA	MD	Caroline	2023-11-16	38.7860247423711	-75.7276842332864
EPI_ISL_19194251|A/chicken/Vermont/23-038532-001/2023|H5N1|USA-VT|2023-12-05|avian|C2.1	USA	VT	Orleans	2023-12-05	44.9195481230317	-72.4222507230861
EPI_ISL_18914528|A/chicken/Maine/24-000724-001/2024|H5N1|USA-ME|2024-01-08|avian|C2.1	USA	ME	York	2024-01-08	43.4414621242873	-70.3842975783329
EPI_ISL_19341025|A/chicken/South_Carolina/24-001296-005/2024|H5N1|USA-SC|2024-01-11|avian|C2.1	USA	SC	Horry	2024-01-11	33.8402175774821	-78.7579501047178
EPI_ISL_19094441|A/chicken/Maine/24-007946-001/2024|H5N1|USA-ME|2024-03-13|avian|C2.1	USA	ME	Knox	2024-03-13	44.2128890565694	-69.3848190120386
EPI_ISL_19134599|A/wood_duck/South_Carolina/W23-970B/2023|H5N1|USA-SC|2023-12-20|avian|C2.1	USA	SC	Clarendon	2023-12-20	33.7522585385667	-80.1521065958883
EPI_ISL_19134619|A/wood_duck/South_Carolina/W24-007E/2023|H5N1|USA-SC|2023-12-20|avian|C2.1	USA	SC	Clarendon	2023-12-20	33.750576279574	-80.3728969432934
EPI_ISL_19134600|A/wood_duck/North_Carolina/W24-011A/2023|H5N1|USA-NC|2023-12-21|avian|C2.1	USA	NC	Hyde	2023-12-21	35.4514567131563	-76.3423371331822
EPI_ISL_19064404|A/wood_duck/North_Carolina/W24-026/2024|H5N1|USA-NC|2024-01-04|avian|C2.1	USA	NC	Carteret	2024-01-04	34.8093650677602	-76.5675332634107
EPI_ISL_19064388|A/hooded_merganser/South_Carolina/W24-028/2024|H5N1|USA-SC|2024-01-10|avian|C2.1	USA	SC	Georgetown	2024-01-10	33.2071476213178	-79.2837863124492
EPI_ISL_19134613|A/American_white_pelican/North_Carolina/W24-84/2024|H5N1|USA-NC|2024-01-23|avian|C2.1	USA	NC	Dare	2024-01-23	35.6007150824745	-75.7842771376592
EPI_ISL_19134610|A/Canada_goose/North_Carolina/W24-90A/2024|H5N1|USA-NC|2024-02-06|avian|C2.1	USA	NC	Buncombe	2024-02-06	35.5423350089787	-82.4603052803875
EPI_ISL_19736853|A/corvus_ossifragus/Massachusetts/000869-001/2023|H5N1|USA-MA|2023-12-12|avian|C2.1	USA	MA	Barnstable	2023-12-12	41.7070822724191	-70.4276582055705
EPI_ISL_19737350|A/great_black-backed_gulll/Massachusetts/000869-002/2023|H5N1|USA-MA|2023-12-24|avian|C2.1	USA	MA	Barnstable	2023-12-24	41.7497769039168	-70.0467638653343
EPI_ISL_19736851|A/lesser_scaup/Massachusetts/004865-003/2024|H5N1|USA-MA|2024-02-03|avian|C2.1	USA	MA	Suffolk	2024-02-03	42.3045956369554	-71.1247846594592
EPI_ISL_19736849|A/canada_goose/Massachusetts/004865-005/2023|H5N1|USA-MA|2023-12-21|avian|C2.1	USA	MA	Norfolk	2023-12-21	42.0265111910569	-71.3630850993879
EPI_ISL_19736848|A/canada_goose/Massachusetts/004865-006/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA	MA	Essex	2024-02-05	42.6395164776845	-70.6445670070494
EPI_ISL_19736846|A/canada_goose/Massachusetts/004865-007/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA	MA	Essex	2024-02-05	42.8769864246505	-70.9135114417869
EPI_ISL_19736782|A/canada_goose/Massachusetts/004865-009/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA	MA	Essex	2024-02-05	42.5833510775263	-70.8622041174325
EPI_ISL_19736781|A/canada_goose/Massachusetts/004865-010/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA	MA	Essex	2024-02-05	42.5509469013472	-70.9017181361501
EPI_ISL_19736780|A/canada_goose/Massachusetts/004865-011/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA	MA	Essex	2024-02-05	42.6839919738478	-71.1293477055863
EPI_ISL_19736776|A/canada_goose/Massachusetts/004865-016/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA	MA	Essex	2024-02-05	42.6448243151378	-71.1988004149975
EPI_ISL_19736775|A/canada_goose/Massachusetts/004865-018/2024|H5N1|USA-MA|2024-01-13|avian|C2.1	USA	MA	Barnstable	2024-01-13	41.6321613829438	-70.5864764136744
EPI_ISL_19736844|A/red-tailed_hawk/Massachusetts/004865-019/2024|H5N1|USA-MA|2024-01-13|avian|C2.1	USA	MA	Barnstable	2024-01-13	41.6852555252446	-70.4334055870851
EPI_ISL_19736831|A/canada_goose/Massachusetts/007606-008/2024|H5N1|USA-MA|2024-02-16|avian|C2.1	USA	MA	Middlesex	2024-02-16	42.3302459956076	-71.5984337976262
EPI_ISL_19736828|A/white-winged_scoter/Massachusetts/007607-001/2024|H5N1|USA-MA|2024-02-21|avian|C2.1	USA	MA	Essex	2024-02-21	42.7494675143056	-70.8686101883056
EPI_ISL_19736827|A/white-winged_scoter/Massachusetts/007607-002/2024|H5N1|USA-MA|2024-02-21|avian|C2.1	USA	MA	Essex	2024-02-21	42.8052816870383	-71.1100810549546
EPI_ISL_19736770|A/sanderling/Massachusetts/007607-006/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA	MA	Barnstable	2024-03-07	41.6692274563175	-70.253010407075
EPI_ISL_19737347|A/red-tailed_hawk/Massachusetts/007607-009/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA	MA	Barnstable	2024-03-07	41.9716805982109	-70.0725447058037
EPI_ISL_19736824|A/common_eider/Massachusetts/007607-010/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA	MA	Barnstable	2024-03-07	41.7805206747983	-69.9739736781516
EPI_ISL_19736823|A/common_loon/Massachusetts/007608-006/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA	MA	Essex	2024-03-07	42.4858880351647	-70.9147773551296
EPI_ISL_19736822|A/common_loon/Massachusetts/007608-007/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA	MA	Essex	2024-03-07	42.5448972412403	-71.0676254966509
EPI_ISL_19736821|A/common_loon/Massachusetts/007608-009/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA	MA	Essex	2024-03-07	42.752006451395	-71.116878140213
EPI_ISL_19736819|A/white-winged_scoter/Massachusetts/007609-001/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA	MA	Essex	2024-02-23	42.6698924396049	-70.9340042277104
EPI_ISL_19736812|A/herring_gull/Massachusetts/007609-008/2024|H5N1|USA-MA|2024-03-03|avian|C2.1	USA	MA	Essex	2024-03-03	42.8362437935058	-71.0498447231048
EPI_ISL_19736810|A/great_black-backed_gull/Massachusetts/007609-010/2024|H5N1|USA-MA|2024-02-18|avian|C2.1	USA	MA	Barnstable	2024-02-18	41.9734410071474	-70.0710633830725
EPI_ISL_19736808|A/sanderling/Massachusetts/007610-003/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA	MA	Barnstable	2024-02-23	41.6140086261491	-70.4371449005713
EPI_ISL_19736807|A/sanderling/Massachusetts/007610-004/2024|H5N1|USA-MA|2024-02-24|avian|C2.1	USA	MA	Barnstable	2024-02-24	41.7064120325247	-70.5741352078302
EPI_ISL_19736763|A/great_black-backed_gull/Massachusetts/007610-006/2024|H5N1|USA-MA|2024-02-27|avian|C2.1	USA	MA	Barnstable	2024-02-27	41.5326824268358	-70.6581163288621
EPI_ISL_19736804|A/white-winged_scoter/Massachusetts/014126-002/2024|H5N1|USA-MA|2024-02-27|avian|C2.1	USA	MA	Essex	2024-02-27	42.644268825735	-71.0794520232291
EPI_ISL_19736802|A/white-winged_scoter/Massachusetts/014126-003/2024|H5N1|USA-MA|2024-02-26|avian|C2.1	USA	MA	Essex	2024-02-26	42.6690155074245	-70.9489296440361
EPI_ISL_19736762|A/bald_eagle/Massachusetts/014126-004/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA	MA	Worcester	2024-02-23	42.5817785745162	-71.8490931841183
