# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Sat Feb 28 15:48:01 CET 2026 [seed=1772290069829]
# -overwrite D11_RRW_pols.xml
state	joint	prior	likelihood	Current Tree	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
0	-1748692.5101743124	-1920.8272652771782	-1746771.6829090351	36.0	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	3035.843975934295	-1746771.6829090351
10000	-5841.656157420539	-1507.118731032297	-4334.537426388241	290.0	5.6402473149869504E-5	1.2756462018978995E-5	1.2756462018978995E-5	1.847584613483805E-5	-0.3951654788641744	21010.653473180002	-14506.594234900469	-14506.59423490047	64140.65205640094	3480.39411964269	-4334.537426388241
20000	-5498.372813822021	-1225.0880247424666	-4273.284789079555	388.0	5.514566947953884E-5	1.4055234886769682E-5	1.4055234886769682E-5	1.6855099363920707E-5	-0.4610167900253068	23028.101926075633	-19202.816582635543	-19202.816582635543	75342.18992946381	3546.578976626086	-4273.284789079555
30000	-5387.29515258565	-1054.06484623293	-4333.23030635272	230.0	4.5334751010385746E-5	1.001290457927237E-5	1.001290457927237E-5	1.296137245771441E-5	-0.4130655392829307	26596.032247958396	-20545.93631614671	-20545.93631614671	93024.44658225644	3327.0017439696985	-4333.23030635272
40000	-5239.684551730271	-1003.0771572081173	-4236.607394522153	980.0	5.3393248673883096E-5	1.1047702194389731E-5	1.1047702194389731E-5	1.322455330223128E-5	-0.41575576504351597	22642.839051938317	-18915.67427378483	-18915.674273784833	91418.94690528963	3284.5674543260106	-4236.607394522153
50000	-5541.000500590981	-1158.6900998537408	-4382.310400737239	798.0	4.929066826689093E-5	1.340971724628368E-5	1.340971724628368E-5	1.5041567349359164E-5	-0.492482407394376	26783.971361218926	-23878.19529337863	-23878.195293378623	87770.09845932016	3471.817348341304	-4382.310400737239
60000	-5265.490169944226	-969.2310408600757	-4296.25912908415	766.0	4.459490117162451E-5	1.201723374660934E-5	1.201723374660934E-5	1.3446661566463984E-5	-0.49074362721982767	29537.610566682873	-26397.65779347183	-26397.657793471826	97959.3944233952	3420.9443681243297	-4296.25912908415
70000	-5442.622390214772	-1054.9112356479172	-4387.711154566855	259.0	4.368362720883283E-5	1.0652710236399458E-5	1.0652710236399458E-5	1.5008904205662004E-5	-0.41603155779339684	27683.37254507816	-19648.53276748637	-19648.532767486366	80572.84593009984	3554.2517196662616	-4387.711154566855
80000	-5241.9181332966145	-1109.1241263661996	-4132.794006930415	989.0	5.8768313031867E-5	1.3773271607893164E-5	1.3773271607893164E-5	1.9187242042148766E-5	-0.4101655893481466	20457.68830331254	-14685.24224858257	-14685.242248582566	62659.5436424064	3191.7182847772788	-4132.794006930415
90000	-5402.6785696736315	-1086.8075011020114	-4315.8710685716205	712.0	4.139204938781203E-5	1.004511001199591E-5	1.004511001199591E-5	1.3613815582295887E-5	-0.4231616491854785	29428.946257031173	-21714.485619551735	-21714.485619551735	89477.07492720943	3511.3320783429617	-4315.8710685716205
100000	-5459.871988051555	-1151.509514752489	-4308.362473299066	240.0	5.094344600881398E-5	1.2353633503164237E-5	1.2353633503164237E-5	1.5076109721425917E-5	-0.445764941062136	24497.400232680233	-20073.607173657438	-20073.607173657438	82778.78107614467	3507.5960471911358	-4308.362473299066
110000	-5293.438728744419	-1081.3728149374786	-4212.06591380694	606.0	5.634389524120786E-5	1.5550022596912658E-5	1.5550022596912658E-5	1.8096771003009332E-5	-0.4869754247737502	23265.434708822344	-19991.30316612964	-19991.303166129637	72436.41507963283	3268.185050248676	-4212.06591380694
120000	-5283.271591753133	-1048.0067026734275	-4235.264889079705	435.0	5.5152235308178504E-5	1.4062210679807564E-5	1.4062210679807564E-5	1.7963814807639722E-5	-0.44675843008137617	22653.01717941379	-17732.953914373575	-17732.95391437358	69548.95423370234	3327.800882913104	-4235.264889079705
130000	-5406.336847162889	-1168.0799223985819	-4238.256924764307	867.0	5.203254038891668E-5	1.2696899688620843E-5	1.2696899688620843E-5	2.0040923028847075E-5	-0.3931889584456628	22733.24704628686	-14402.617929716456	-14402.617929716456	59022.66045353853	3401.6429944158117	-4238.256924764307
140000	-5246.640321602047	-989.5938138579371	-4257.04650774411	417.0	4.665974562832105E-5	1.165718155048984E-5	1.165718155048984E-5	1.5370945988620937E-5	-0.4352833733518239	26441.701891614248	-20053.13919407848	-20053.139194078478	80265.91760558961	3391.880544970824	-4257.04650774411
150000	-5492.40937560726	-1146.4827127553315	-4345.926662851928	721.0	4.435982338898974E-5	9.856004401191336E-6	9.856004401191336E-6	1.3745058650856996E-5	-0.3991468312850675	26815.04576441393	-19227.943349352863	-19227.94334935286	86540.96897599736	3629.6990333769427	-4345.926662851928
160000	-5439.6625871428	-1101.01249151508	-4338.65009562772	612.0	4.677521488031042E-5	1.03187662271036E-5	1.03187662271036E-5	1.3651813627932476E-5	-0.4083426120987649	25656.98362423697	-19392.91169119351	-19392.91169119351	87908.53398033409	3418.547898062303	-4338.65009562772
170000	-5343.410836355351	-1073.1292536461883	-4270.281582709164	597.0	4.487564243876796E-5	1.1540691440127725E-5	1.1540691440127725E-5	1.5665535180762794E-5	-0.43526512564917347	27492.395366406872	-20253.457555878387	-20253.45755587839	78754.97964238987	3554.4516854155863	-4270.281582709164
180000	-5300.513976978755	-1100.9919811769191	-4199.521995801835	112.0	5.7198867771590774E-5	1.4244682638512367E-5	1.4244682638512367E-5	1.9598839549206188E-5	-0.42544544970505377	21346.69757524031	-15515.047795363767	-15515.04779536377	62299.960612502815	3446.0422140172186	-4199.521995801835
190000	-5370.192290209867	-1133.3678693856195	-4236.824420824247	914.0	5.6571424160936346E-5	1.2501848139553376E-5	1.2501848139553376E-5	1.6172629184887093E-5	-0.41331897977946297	21318.697054651017	-16479.88772038685	-16479.88772038685	74572.23187706363	3364.286748552459	-4236.824420824247
200000	-5483.78784267219	-1152.378257574259	-4331.409585097931	352.0	4.952805581792587E-5	1.0673258739561581E-5	1.0673258739561581E-5	1.4024820619764251E-5	-0.4049698953226494	24151.42509853858	-18379.872084964813	-18379.872084964813	85289.72760458605	3518.686856926179	-4331.409585097931
210000	-5406.380365969635	-1064.3290507543393	-4342.051315215296	122.0	4.3818435768904095E-5	9.770029540618617E-6	9.770029540618617E-6	1.2515241469406959E-5	-0.41720338666240686	27630.82988673685	-21570.021232520307	-21570.021232520307	96741.22130149085	3493.423336166548	-4342.051315215296
220000	-5409.268138372954	-1073.5864257459157	-4335.681712627038	234.0	4.906945771390201E-5	1.3911424511034092E-5	1.3911424511034092E-5	1.4790808163224448E-5	-0.5163807239557869	27789.25371386886	-26137.05086241771	-26137.05086241771	92192.63714095202	3499.4570425817633	-4335.681712627038
230000	-5395.951523662707	-1127.1476730027846	-4268.803850659922	275.0	5.498117653058951E-5	1.280940587590676E-5	1.280940587590676E-5	1.564515769132715E-5	-0.436749081081683	22475.177693874433	-18401.455510643835	-18401.455510643835	78983.6533912529	3444.2149855688303	-4268.803850659922
240000	-5314.247698365672	-1049.8425241930245	-4264.405174172647	270.0	5.634786183028651E-5	1.1139418275367678E-5	1.1139418275367678E-5	1.5613193987690594E-5	-0.3755587745513963	20661.023900542845	-14740.852346225025	-14740.852346225023	74565.42978572428	3282.0793506707673	-4264.405174172647
250000	-5518.626017353741	-1158.1491883478013	-4360.47682900594	929.0	5.0959646755135814E-5	1.2636722089333701E-5	1.2636722089333701E-5	1.4269512318880121E-5	-0.4686155165807712	25145.287758648952	-22268.03594695723	-22268.035946957232	89799.49371090742	3356.2455407785346	-4360.47682900594
260000	-5586.302161297175	-1171.5867468117626	-4414.715414485413	999.0	4.6890219130828324E-5	1.0607458421468585E-5	1.0607458421468585E-5	1.2334226186898893E-5	-0.4410768382667931	26477.592414868337	-22770.780783931976	-22770.780783931972	100658.12735854213	3586.1445655402617	-4414.715414485413
270000	-5562.780840758643	-1205.5735952142634	-4357.2072455443795	374.0	5.039395259942563E-5	1.1163482294195991E-5	1.1163482294195991E-5	1.4190048989942855E-5	-0.4174635182812556	24031.814232057972	-18906.117439561203	-18906.1174395612	85345.59028984781	3399.669093424156	-4357.2072455443795
280000	-5581.957590928718	-1230.5932496913676	-4351.36434123735	895.0	4.836993012327279E-5	1.2006713075768807E-5	1.2006713075768807E-5	1.4845267743639186E-5	-0.44806640739833364	25867.188844451674	-20921.13930819028	-20921.13930819028	84282.35438378896	3506.104106049656	-4351.36434123735
290000	-5278.566769409511	-1095.8297145669212	-4182.73705484259	367.0	5.50123149921448E-5	1.2398334943327208E-5	1.2398334943327208E-5	1.7880220848502072E-5	-0.39531834165946345	21544.676647483822	-14939.307494267463	-14939.307494267463	66286.79523466731	3322.354178827938	-4182.73705484259
300000	-5349.687382623157	-1005.4213283485695	-4344.266054274587	874.0	4.796110655270558E-5	9.059673521050139E-6	9.059673521050139E-6	1.2245429886911617E-5	-0.3738358373810971	24237.496339995578	-17931.89833561557	-17931.89833561557	94929.87631049343	3479.9926541946106	-4344.266054274587
310000	-5435.750284153961	-1105.2031116916282	-4330.547172462332	396.0	4.899436180559235E-5	1.0856087949165587E-5	1.0856087949165587E-5	1.350016273186282E-5	-0.42211501317632344	24835.777585617798	-19971.56561076347	-19971.565610763475	90133.21520051612	3397.285152843103	-4330.547172462332
320000	-5565.9117050063705	-1168.5996859881936	-4397.312019018177	870.0	4.0378810298342644E-5	7.331909795334072E-6	7.331909795334072E-6	1.2696071481644746E-5	-0.32382149557299256	27666.593673578285	-15977.302069549918	-15977.302069549918	87991.32386438179	3595.0879160102604	-4397.312019018177
330000	-5529.147713892846	-1199.1815575443077	-4329.966156348538	206.0	5.0709615528646064E-5	1.2923632797389565E-5	1.2923632797389565E-5	1.4919115234885067E-5	-0.4698593966448595	25307.125630786886	-21922.211448902657	-21922.211448902654	86018.14455267417	3494.173879127826	-4329.966156348538
340000	-5514.785085805859	-1119.4765139912793	-4395.308571814579	839.0	4.409395398214005E-5	1.3041736628937523E-5	1.3041736628937523E-5	1.4441302403013354E-5	-0.5168240585731597	30944.28451494235	-27945.347140613758	-27945.347140613758	94482.88106808196	3386.394328712319	-4395.308571814579
350000	-5431.55335983815	-1092.7830795066125	-4338.770280331537	127.0	4.2699136089032864E-5	9.188404622574382E-6	9.188404622574382E-6	1.4165352469618228E-5	-0.3736086088237049	27218.99760502627	-17655.69645741437	-17655.696457414368	82047.21241047945	3434.1211707435727	-4338.770280331537
360000	-5579.215204968469	-1173.6780660090974	-4405.537138959372	197.0	4.311147596115555E-5	8.454697400217332E-6	8.454697400217332E-6	1.3763461740855424E-5	-0.3470865485072337	26372.784911682396	-16200.424008693746	-16200.424008693746	82607.82818712996	3597.1674123799203	-4405.537138959372
370000	-5388.750711700132	-1140.634512554653	-4248.116199145479	755.0	5.314397231122903E-5	1.3491063628895296E-5	1.3491063628895296E-5	1.7394062686359633E-5	-0.4437298740976754	23430.108872447705	-18172.700382298754	-18172.70038229875	71585.86694889284	3219.494910998307	-4248.116199145479
380000	-5409.081315382813	-1105.855478386749	-4303.225836996065	224.0	4.967940817978543E-5	1.444399341397955E-5	1.444399341397955E-5	1.6533298156977493E-5	-0.5039869905030434	26982.764283377677	-23572.96565389705	-23572.96565389705	81078.06125102351	3397.711375165257	-4303.225836996065
390000	-5387.921887980654	-1128.9817934070093	-4258.940094573645	182.0	4.9424410848180156E-5	1.4867425403432495E-5	1.4867425403432495E-5	1.9556156015787993E-5	-0.47821508428855214	26231.875913368833	-19942.592911370484	-19942.59291137048	66296.00476771312	3414.738327019571	-4258.940094573645
400000	-5521.692725493999	-1153.5025018369859	-4368.190223657013	573.0	4.848670509474056E-5	1.094880301882631E-5	1.094880301882631E-5	1.3153984180950752E-5	-0.4335374795412633	25397.85824552159	-21140.07005063849	-21140.070050638493	93618.66685015446	3543.524305679408	-4368.190223657013
410000	-5477.42931865669	-1169.1113282393885	-4308.317990417302	12.0	4.502559542227357E-5	9.066906623438524E-6	9.066906623438524E-6	1.493606947030093E-5	-0.34963205943131154	25302.650949257677	-15359.916070191875	-15359.916070191877	76276.22026113466	3438.662804343758	-4308.317990417302
420000	-5395.173534779677	-1120.419413415617	-4274.75412136406	468.0	4.652582218740451E-5	1.0828557833629778E-5	1.0828557833629778E-5	1.5395407417474043E-5	-0.40460197548919397	25700.719350530264	-18076.931535909065	-18076.93153590907	77669.07793774684	3359.9981402733783	-4274.75412136406
430000	-5416.356527016106	-1141.3717210344782	-4274.984805981628	863.0	5.540157574220397E-5	1.1783156411414513E-5	1.1783156411414513E-5	1.4835458317112026E-5	-0.41100783434898197	21718.95570350782	-17250.417659953677	-17250.41765995368	81107.32703562995	3343.317741810433	-4274.984805981628
440000	-5385.77850309809	-1063.723801398256	-4322.054701699834	99.0	4.3793252479626614E-5	9.737110055887267E-6	9.737110055887267E-6	1.3155883096426126E-5	-0.405664006318235	27332.492790206936	-20229.694080535613	-20229.694080535613	90984.29568626014	3510.110077844129	-4322.054701699834
450000	-5355.623804421217	-1120.4548857645927	-4235.168918656624	583.0	4.905538763302473E-5	1.1939048395027937E-5	1.1939048395027937E-5	1.5702258818156522E-5	-0.4301751224017496	25013.972207306208	-19019.112357872466	-19019.112357872466	78146.0882209031	3383.930447512006	-4235.168918656624
460000	-5378.59574084227	-1066.5119071025285	-4312.083833739742	394.0	4.8584802896137346E-5	9.706164887572954E-6	9.706164887572954E-6	1.2952399930236996E-5	-0.38692101591101774	24206.46639270287	-18139.646352687036	-18139.646352687036	90799.11096289958	3439.288257514586	-4312.083833739742
470000	-5481.378787378273	-1068.8895965085596	-4412.489190869714	606.0	4.453734554467147E-5	1.0580403551395468E-5	1.0580403551395468E-5	1.2471848084714487E-5	-0.44892589989476545	28120.270565677547	-23855.63138184322	-23855.631381843217	100418.33403408602	3524.0698398434365	-4412.489190869714
480000	-5354.618834468434	-1062.374988086034	-4292.2438463824	182.0	4.537710703977434E-5	1.0491405015656509E-5	1.0491405015656509E-5	1.3832520697283067E-5	-0.4187594169562292	26723.818196520384	-20268.930471908563	-20268.930471908563	87666.56384278239	3556.6844876318414	-4292.2438463824
490000	-5344.168858134158	-1103.534913180055	-4240.633944954103	694.0	6.030187371302956E-5	1.0837052013651004E-5	1.0837052013651004E-5	1.6626696885523504E-5	-0.3422494545714328	18783.42305385255	-12242.776423394354	-12242.776423394354	68123.91016029289	3295.594510285382	-4240.633944954103
500000	-5488.447849101138	-1061.8240045345074	-4426.62384456663	964.0	4.0833442996549844E-5	1.0403841265267516E-5	1.0403841265267516E-5	1.1571601978502014E-5	-0.4786179405466224	31766.6885538851	-28560.918864286323	-28560.918864286316	112097.12092276262	3471.599518343695	-4426.62384456663
510000	-5358.23978816517	-1102.9223586836852	-4255.317429481484	418.0	5.2097607180485936E-5	1.23895553757142E-5	1.23895553757142E-5	1.3962167504462526E-5	-0.4593782307126953	24328.807943903867	-21588.5616004659	-21588.561600465902	90779.07703269464	3475.884809262397	-4255.317429481484
520000	-5560.625094634754	-1030.6627639733065	-4529.962330661448	228.0	4.913634081147194E-5	9.736410017772907E-6	9.736410017772907E-6	1.363793405253857E-5	-0.3761171666264187	23704.93343860319	-16923.45413265103	-16923.45413265103	85406.9013580288	3415.7080236337615	-4529.962330661448
