time	95%HPD_lower_value	95%HPD_higher_value
2024.79179010173	25236.9309655467	862769.630786067
2024.80318947154	73073.4732714329	912589.460798919
2024.81458884134	109300.111300968	1014388.32871402
2024.82598821114	142665.82605623	918580.403512702
2024.83738758095	146602.651520962	855021.193286157
2024.84878695075	149304.234081461	821243.186997725
2024.86018632056	195368.635039721	771385.445886056
2024.87158569036	195349.222620654	777675.419874853
2024.88298506017	200905.802925661	670607.499938586
2024.89438442997	188845.507561998	631975.194936747
2024.90578379978	168160.010485374	566214.215643052
2024.91718316958	158686.152228769	520827.672950172
2024.92858253938	198519.069316245	579692.615541062
2024.93998190919	164833.977755151	555734.079270017
2024.95138127899	147730.276208917	571960.403703174
2024.9627806488	105935.602441297	587544.042077808
2024.9741800186	43402.4375154667	293823.407756282
2024.9855793884	42414.6474432329	216225.970462629
2024.99697875821	27452.9888026421	186338.057454697
2025.00837812801	34821.9843500928	233947.152735787
2025.01977749782	25032.160856317	237634.333749245
2025.03117686762	31825.4889997412	241278.22960051
2025.04257623743	36559.8806810537	278727.261828781
2025.05397560723	38529.9186779764	278424.115710513
2025.06537497704	40657.957463104	275327.42917464
2025.07677434684	32842.4341246999	252050.25269926
2025.08817371664	23566.9375578935	204917.540778093
2025.09957308645	15296.7603681645	206169.38504625
2025.11097245625	23331.3424525922	154113.217176899
2025.12237182606	27429.1133499358	198607.567695925
2025.13377119586	20406.7322366208	182841.667450282
2025.14517056567	13748.6976320792	198445.050745743
2025.15656993547	11781.2501598065	175866.66303731
2025.16796930527	14046.0549570369	181595.461820759
2025.17936867508	22066.2599391482	251526.056605769
2025.19076804488	31642.6334418	262780.242101861
2025.20216741469	39943.9574932466	353912.077063401
2025.21356678449	56905.0721229467	361675.781374269
2025.2249661543	63952.8009825917	388617.906408864
2025.2363655241	48316.6510236991	394737.270609312
2025.2477648939	26325.8849311163	299994.758511755
2025.25916426371	21311.5787532605	269909.624370512
2025.27056363351	13614.6537590761	263454.749699121
2025.28196300332	17039.115241105	250747.071324269
2025.29336237312	30567.2335438135	268703.638256343
2025.30476174293	28810.3691764189	307682.259451492
2025.31616111273	28261.4184936763	286648.18902768
2025.32756048253	24121.6784358414	320029.197037816
2025.33895985234	20056.0924498297	393889.059615196
2025.35035922214	13394.2926034572	453486.787997338
2025.36175859195	15530.4113206448	533271.500089576
2025.37315796175	14486.8226331803	817102.934199046
2025.38455733156	10066.5952096804	914523.647970889
2025.39595670136	59714.979365293	909113.972806596
2025.40735607116	34078.023413425	802397.686125872
2025.41875544097	19418.3378128086	894107.665923593
2025.43015481077	3936.71307581685	943205.318660174
2025.44155418058	1730.77326113545	1058734.21963033
2025.45295355038	481.240163536722	1124989.0435058
2025.46435292019	56880.3787891538	1086505.10709921
2025.47575228999	75196.9750702614	1007966.1080628
2025.48715165979	147918.431477766	976871.563974369
2025.4985510296	200919.619275031	1010180.1202234
2025.5099503994	157114.714803169	975530.924161942
2025.52134976921	158463.854126331	968815.504831006
2025.53274913901	163856.183750973	898715.919199431
2025.54414850882	183358.001801954	925389.848777679
2025.55554787862	183464.297200318	862706.094620517
2025.56694724842	235235.531099166	826946.810014155
2025.57834661823	208154.759344902	779673.48001367
2025.58974598803	214245.62552116	752685.785415654
2025.60114535784	158804.233628319	696947.61069206
2025.61254472764	140246.730880324	666082.087296924
2025.62394409745	72721.2881929478	616635.03108261
2025.63534346725	70714.2511722479	609042.702417962
2025.64674283705	80652.4044296232	631332.407487868
2025.65814220686	114236.139322125	737686.481722465
2025.66954157666	97346.5431058159	742493.613510663
2025.68094094647	69283.2549933806	640080.111455532
2025.69234031627	77270.3337117206	633167.784926202
2025.70373968608	55599.9211276041	606843.179880209
2025.71513905588	98987.8441853418	727321.045050878
2025.72653842568	101831.734708855	648725.054479553
2025.73793779549	76094.8935618587	512832.187312987
2025.74933716529	48643.8435044436	376458.744775668
2025.7607365351	63700.3557586574	369247.061332318
2025.7721359049	43369.0051120221	407108.170409334
2025.78353527471	25417.4657497784	515789.475981532
2025.79493464451	21262.083877772	581404.74286728
2025.80633401431	67929.0277476813	798293.209103
2025.81773338412	65339.2032378051	533872.48442213
2025.82913275392	71195.1355826855	440081.907285956
2025.84053212373	79059.9492805013	395909.734638388
2025.85193149353	53901.7097350072	321370.030393957
2025.86333086334	40579.5962070094	310038.762254968
2025.87473023314	68938.2031968848	343082.13955745
2025.88612960294	76565.4003698451	156306.46712528
2025.89752897275	59168.6960863811	114283.126614955
2025.90892834255	34117.940659673	72576.502686449
2025.92032771236	16859.2517370661	45284.7051485781
