time	95%HPD_lower_value	95%HPD_higher_value
2024.79179010173	16034.692002461	988806.023007889
2024.80318947154	79599.6374279945	1019437.76459348
2024.81458884134	116239.007295271	1003273.82495502
2024.82598821114	117433.744791585	1027828.45115263
2024.83738758095	125921.663749108	908901.467426558
2024.84878695075	152237.8820989	1070622.74029338
2024.86018632056	195814.0323745	873686.611907902
2024.87158569036	200262.308523063	903780.430609292
2024.88298506017	232867.07734127	747342.91764254
2024.89438442997	188114.84278482	630650.901418667
2024.90578379978	160393.797531805	582430.117350334
2024.91718316958	157712.730893707	616091.822244181
2024.92858253938	190146.978052816	651379.704598663
2024.93998190919	145072.256688501	484725.555571723
2024.95138127899	135699.357388702	469673.403216144
2024.9627806488	81800.7265820588	378136.332365003
2024.9741800186	44390.6789994541	282852.869558973
2024.9855793884	48281.4424514482	226870.170850357
2024.99697875821	30297.8775617496	199919.924704046
2025.00837812801	30803.0061954934	348411.682192652
2025.01977749782	39582.6094285244	325747.792160801
2025.03117686762	33755.4033796293	230557.406406458
2025.04257623743	31112.3637767529	179469.27191175
2025.05397560723	40819.3014119831	184056.476297108
2025.06537497704	46523.7069963888	193306.549578993
2025.07677434684	37354.3569731627	203646.758260359
2025.08817371664	27552.2833029162	196894.55662559
2025.09957308645	23456.818501411	250743.898276139
2025.11097245625	37329.09311155	239814.734703214
2025.12237182606	33867.9552157979	219869.812562319
2025.13377119586	23596.4434842903	205448.78579183
2025.14517056567	11085.4831265204	187603.246871832
2025.15656993547	14640.0238306471	191469.548629779
2025.16796930527	19471.0234438223	235038.352958887
2025.17936867508	29063.7751617197	304050.691399296
2025.19076804488	31712.5329211002	266645.109351959
2025.20216741469	33885.2420694912	320513.305506644
2025.21356678449	50047.0030321253	297728.342387534
2025.2249661543	48579.1138839801	312630.525527429
2025.2363655241	41065.6144922569	304464.849777194
2025.2477648939	26662.2105267608	354280.926844459
2025.25916426371	18899.4551798063	345338.051276698
2025.27056363351	13672.8637086453	337584.268889128
2025.28196300332	28993.5957091986	338214.909845797
2025.29336237312	30047.4359521124	287608.039192005
2025.30476174293	29409.5407066858	370436.987113888
2025.31616111273	26666.7831567158	306077.195832062
2025.32756048253	20505.7174383653	308911.78359487
2025.33895985234	20311.6705070053	333135.357967144
2025.35035922214	29669.4996303421	395236.650087969
2025.36175859195	18226.2907206034	541504.937067013
2025.37315796175	22930.1650142637	675755.081145312
2025.38455733156	11862.4135554841	689665.320225956
2025.39595670136	105792.106843063	795239.592263283
2025.40735607116	36805.6378602566	674000.332570595
2025.41875544097	11320.6708697862	827268.79868694
2025.43015481077	2748.68942872228	992223.376732742
2025.44155418058	1498.97847607301	1280883.29888163
2025.45295355038	481.240163536722	1204412.39151508
2025.46435292019	59857.1877947153	1030212.91540378
2025.47575228999	77738.8071754245	985442.98008451
2025.48715165979	111914.725917075	857001.906277441
2025.4985510296	169608.842397453	882495.56947895
2025.5099503994	166573.909866136	807002.094524263
2025.52134976921	165455.719670917	821844.96792234
2025.53274913901	172066.362442047	843559.12783297
2025.54414850882	163014.603876029	915257.177996657
2025.55554787862	176594.970635704	863513.694926916
2025.56694724842	202315.069849354	804977.241945875
2025.57834661823	201143.075667597	747857.979675516
2025.58974598803	176359.655485733	640064.874536034
2025.60114535784	173057.981594737	675503.755656961
2025.61254472764	132475.144419613	614462.409302196
2025.62394409745	79050.5906297086	617287.059380071
2025.63534346725	82341.3426291873	735591.771937278
2025.64674283705	90136.2197417415	753984.81459649
2025.65814220686	114634.800453117	859075.883461574
2025.66954157666	111321.676978174	844520.456076469
2025.68094094647	78437.4001166731	695023.277981493
2025.69234031627	84593.3777044296	677475.418758198
2025.70373968608	62771.9622501686	716473.104525235
2025.71513905588	116105.275067725	942681.884227826
2025.72653842568	102891.574631023	712539.093722522
2025.73793779549	75981.1182512084	496575.075709027
2025.74933716529	53313.7026882229	479425.942737973
2025.7607365351	74063.4642057481	509498.157426429
2025.7721359049	43982.7987787642	623068.963517263
2025.78353527471	23658.997097727	703906.046208879
2025.79493464451	23326.0957413925	950786.129211686
2025.80633401431	103243.917421585	1424397.2241619
2025.81773338412	88620.6854911933	789088.711192666
2025.82913275392	65705.0271807394	352106.813501321
2025.84053212373	62150.3123980725	200869.740267346
2025.85193149353	63738.8750418484	181347.9909415
2025.86333086334	46485.6245532762	193808.693874832
2025.87473023314	118791.250563078	282503.999089429
2025.88612960294	105846.319500213	227750.783050646
2025.89752897275	66574.2696869622	137424.84040695
2025.90892834255	33252.2120159139	78501.3951567495
2025.92032771236	14778.1832367383	42453.0299852881
