time	diffusion_coefficient	number_of_branches
2024.79179010173	386719.322881756	55.672
2024.80318947154	462649.00134004	81.802
2024.81458884134	498587.168035303	95.004
2024.82598821114	481677.156200763	100.794
2024.83738758095	450917.227800737	101.506
2024.84878695075	458486.527053391	100
2024.86018632056	451233.042532074	105.609
2024.87158569036	455878.85792056	112.887
2024.88298506017	432630.858927137	133.209
2024.89438442997	393797.297464375	142.992
2024.90578379978	358169.665244762	149.244
2024.91718316958	331960.251027219	144.567
2024.92858253938	370693.801085552	130.827
2024.93998190919	343518.036043334	110.721
2024.95138127899	316383.020726592	88.321
2024.9627806488	282550.529611766	57.536
2024.9741800186	148391.180016451	41.227
2024.9855793884	117007.695692044	37.545
2024.99697875821	96814.4346101867	41.969
2025.00837812801	113246.730582933	46.124
2025.01977749782	111663.479597907	45.85
2025.03117686762	117226.567985574	49.537
2025.04257623743	128920.172563566	60.338
2025.05397560723	136551.940203362	68.421
2025.06537497704	141485.720056048	72.577
2025.07677434684	123672.601672919	73.473
2025.08817371664	96716.1567961538	62.327
2025.09957308645	95700.1462602704	53.766
2025.11097245625	80483.3063522418	51.341
2025.12237182606	100732.553395122	35.471
2025.13377119586	81537.128944613	33.343
2025.14517056567	76941.6127747363	31.85
2025.15656993547	76709.9946137041	42.135
2025.16796930527	81637.0231531895	47.065
2025.17936867508	111930.157860006	47.599
2025.19076804488	123207.1424868	54.563
2025.20216741469	164227.748466781	61.336
2025.21356678449	185837.557416572	73.959
2025.2249661543	191876.263884395	69.432
2025.2363655241	198194.948061187	61.015
2025.2477648939	146317.540967929	47.237
2025.25916426371	120349.598698724	39.239
2025.27056363351	112912.686935123	34.619
2025.28196300332	107802.512021749	38.063
2025.29336237312	122369.231745288	37.181
2025.30476174293	143099.279869561	39.039
2025.31616111273	125816.676306409	42.926
2025.32756048253	128404.717250052	40.133
2025.33895985234	147940.444090582	36.091
2025.35035922214	176304.677269092	33.071
2025.36175859195	209214.522140748	33.252
2025.37315796175	306425.798678862	29.709
2025.38455733156	323527.088759698	27.582
2025.39595670136	395281.164950845	26.775
2025.40735607116	313727.681144933	26.843
2025.41875544097	295839.346167334	25.823
2025.43015481077	335270.854940875	26.454
2025.44155418058	416857.034942147	27.044
2025.45295355038	505479.643635936	29.626
2025.46435292019	513865.096377996	38.45
2025.47575228999	520078.722580955	51.803
2025.48715165979	523730.406604991	68.52
2025.4985510296	529365.700581037	85.474
2025.5099503994	539175.732121718	90.378
2025.52134976921	532149.516262405	87.816
2025.53274913901	506623.22555025	83.422
2025.54414850882	496776.234989412	80.261
2025.55554787862	487490.84626194	94.486
2025.56694724842	491182.15278464	112.519
2025.57834661823	482023.93531542	136.319
2025.58974598803	466274.317382225	136.684
2025.60114535784	426140.855982555	123.61
2025.61254472764	383408.040892586	103.131
2025.62394409745	328730.757493519	74.651
2025.63534346725	305976.690337292	61.628
2025.64674283705	291571.367136956	49.314
2025.65814220686	372994.494150016	41.892
2025.66954157666	369856.041370803	40.864
2025.68094094647	307771.70926084	43.786
2025.69234031627	271982.646352124	45.87
2025.70373968608	261499.141994503	42.171
2025.71513905588	325961.196984518	44.45
2025.72653842568	299683.29622622	43.372
2025.73793779549	243517.645425921	42.641
2025.74933716529	183690.019423274	44.415
2025.7607365351	187205.106659664	39.75
2025.7721359049	161242.307798494	34.417
2025.78353527471	132635.901809906	31.44
2025.79493464451	106168.702633429	29.917
2025.80633401431	321170.205209672	28.556
2025.81773338412	237340.001088027	31.556
2025.82913275392	216406.845509154	24.308
2025.84053212373	192603.68724171	30.976
2025.85193149353	164413.5288552	36.939
2025.86333086334	151963.985082843	36.805
2025.87473023314	183172.383022046	38.315
2025.88612960294	113912.129441481	37.989
2025.89752897275	84882.0250359128	36.989
2025.90892834255	51942.267597388	27
2025.92032771236	31639.5029411426	14
