time	diffusion_coefficient	number_of_branches
2024.79179010173	392520.495550726	55.672
2024.80318947154	450912.761514392	81.802
2024.81458884134	468689.335400029	95.004
2024.82598821114	463123.245078705	100.794
2024.83738758095	438050.536096084	101.506
2024.84878695075	500320.153978351	100
2024.86018632056	486745.906745992	105.609
2024.87158569036	503369.244671812	112.887
2024.88298506017	476681.212043488	133.209
2024.89438442997	395891.935409892	142.992
2024.90578379978	354003.455060813	149.244
2024.91718316958	364636.469589163	144.567
2024.92858253938	400652.872980981	130.827
2024.93998190919	308585.6353733	110.721
2024.95138127899	282382.911028926	88.321
2024.9627806488	209062.394161659	57.536
2024.9741800186	140330.411217269	41.227
2024.9855793884	125671.455683632	37.545
2024.99697875821	102394.962570061	41.969
2025.00837812801	162608.935979544	46.124
2025.01977749782	144740.81023342	45.85
2025.03117686762	116099.281027986	49.537
2025.04257623743	96048.4972187491	60.338
2025.05397560723	105739.753502787	68.421
2025.06537497704	114868.644792662	72.577
2025.07677434684	112334.804223627	73.473
2025.08817371664	92427.0140867656	62.327
2025.09957308645	107984.621331942	53.766
2025.11097245625	120860.257445823	51.341
2025.12237182606	112063.930418497	35.471
2025.13377119586	86445.0049259347	33.343
2025.14517056567	74841.561425317	31.85
2025.15656993547	81573.688818012	42.135
2025.16796930527	97545.8060560297	47.065
2025.17936867508	134090.693889721	47.599
2025.19076804488	120071.429807424	54.563
2025.20216741469	146833.850221774	61.336
2025.21356678449	148424.7359318	73.959
2025.2249661543	166704.216820258	69.432
2025.2363655241	161922.735668179	61.015
2025.2477648939	158919.088454169	47.237
2025.25916426371	142487.836183761	39.239
2025.27056363351	135610.715974201	34.619
2025.28196300332	134823.923250247	38.063
2025.29336237312	128213.063576831	37.181
2025.30476174293	164182.401103619	39.039
2025.31616111273	135993.104194888	42.926
2025.32756048253	120650.228125763	40.133
2025.33895985234	138494.105021229	36.091
2025.35035922214	153800.851279657	33.071
2025.36175859195	195976.101252987	33.252
2025.37315796175	239116.820387875	29.709
2025.38455733156	252300.962098121	27.582
2025.39595670136	377293.79275035	26.775
2025.40735607116	264410.645864188	26.843
2025.41875544097	284824.224162904	25.823
2025.43015481077	361341.747098895	26.454
2025.44155418058	478951.963846635	27.044
2025.45295355038	525708.201831254	29.626
2025.46435292019	481168.590897033	38.45
2025.47575228999	477426.343381235	51.803
2025.48715165979	447399.36119885	68.52
2025.4985510296	463075.514782114	85.474
2025.5099503994	454074.084985011	90.378
2025.52134976921	472488.622021666	87.816
2025.53274913901	478184.643222736	83.422
2025.54414850882	500149.674255872	80.261
2025.55554787862	494508.795350776	94.486
2025.56694724842	473130.357814756	112.519
2025.57834661823	438136.619292401	136.319
2025.58974598803	395027.638322683	136.684
2025.60114535784	375538.534474543	123.61
2025.61254472764	353332.887491731	103.131
2025.62394409745	338346.915686938	74.651
2025.63534346725	350724.147968328	61.628
2025.64674283705	347006.542931187	49.314
2025.65814220686	433162.35720045	41.892
2025.66954157666	420344.496916874	40.864
2025.68094094647	331642.996507388	43.786
2025.69234031627	302884.08185967	45.87
2025.70373968608	316157.013253423	42.171
2025.71513905588	400539.236866961	44.45
2025.72653842568	341128.467929015	43.372
2025.73793779549	247391.337015975	42.641
2025.74933716529	245909.822941264	44.415
2025.7607365351	237069.464602101	39.75
2025.7721359049	203448.98731103	34.417
2025.78353527471	163283.14133558	31.44
2025.79493464451	161739.323279546	29.917
2025.80633401431	548617.38080949	28.556
2025.81773338412	348771.409402882	31.556
2025.82913275392	182424.941050375	24.308
2025.84053212373	116056.682528839	30.976
2025.85193149353	118065.136571732	36.939
2025.86333086334	108356.562243931	36.805
2025.87473023314	195126.733595308	38.315
2025.88612960294	165007.490216204	37.989
2025.89752897275	99558.6807587343	36.989
2025.90892834255	55123.016508012	27
2025.92032771236	28470.3070279363	14
