time	diffusion_coefficient	number_of_branches
2024.79179010173	278482.823782514	54
2024.80318947154	363874.849865681	82
2024.81458884134	402101.049255148	96
2024.82598821114	409058.416819134	99
2024.83738758095	398076.695301282	101
2024.84878695075	412389.575663982	100
2024.86018632056	421595.812738106	105
2024.87158569036	429969.950362154	113
2024.88298506017	407694.92469941	134
2024.89438442997	371492.993283114	144
2024.90578379978	340989.720158484	152
2024.91718316958	320245.098845087	147
2024.92858253938	355288.095592347	132
2024.93998190919	325518.243524003	112
2024.95138127899	290699.5266474	85
2024.9627806488	242907.764046968	55
2024.9741800186	129203.395220703	38
2024.9855793884	102718.397983957	36
2024.99697875821	85721.145289407	41
2025.00837812801	96976.478918805	45
2025.01977749782	92731.3595780972	44
2025.03117686762	96967.5808710991	48
2025.04257623743	108397.431628816	59
2025.05397560723	115868.644112442	68
2025.06537497704	123478.64572941	73
2025.07677434684	107299.071098777	73
2025.08817371664	80135.9700553178	61
2025.09957308645	77622.1790388764	53
2025.11097245625	68953.2055109823	50
2025.12237182606	86790.9994497133	35
2025.13377119586	65921.2089681731	33
2025.14517056567	59039.7206648877	31
2025.15656993547	60799.7782464202	42
2025.16796930527	65288.0196787779	47
2025.17936867508	96178.7521466325	47
2025.19076804488	103255.12431978	53
2025.20216741469	138614.779824595	61
2025.21356678449	161454.195484606	75
2025.2249661543	169904.935684946	70
2025.2363655241	177529.566395463	62
2025.2477648939	127784.346957361	47
2025.25916426371	101023.497644272	39
2025.27056363351	91177.5970310253	34
2025.28196300332	84079.5314336333	38
2025.29336237312	98894.6779596272	37
2025.30476174293	119235.621565697	39
2025.31616111273	102092.486806861	43
2025.32756048253	98213.0950864875	39.5
2025.33895985234	110369.201806497	35
2025.35035922214	129340.690159424	32
2025.36175859195	154284.016909743	33
2025.37315796175	204734.383703825	30
2025.38455733156	220466.577140242	28
2025.39595670136	293170.137569782	26
2025.40735607116	240861.892092506	26.5
2025.41875544097	210800.810058263	24
2025.43015481077	244645.639014187	23
2025.44155418058	328658.727779022	24
2025.45295355038	413335.371580307	26
2025.46435292019	453960.501114865	35
2025.47575228999	463868.686165265	49.5
2025.48715165979	481430.036053285	67
2025.4985510296	498675.957363725	86.5
2025.5099503994	502091.860551456	92
2025.52134976921	502746.36871178	92
2025.53274913901	475618.864735934	84
2025.54414850882	457164.58419933	76
2025.55554787862	451233.691627744	90.5
2025.56694724842	465776.084553262	113
2025.57834661823	463794.733399796	140
2025.58974598803	444188.724243605	139
2025.60114535784	406996.159178632	127
2025.61254472764	365474.48667663	105
2025.62394409745	301885.552937932	70
2025.63534346725	277458.62176061	60
2025.64674283705	257045.232397534	48
2025.65814220686	334783.327255791	42
2025.66954157666	328822.920080955	40
2025.68094094647	260955.966593738	43
2025.69234031627	226552.67454148	45
2025.70373968608	205357.361152714	42
2025.71513905588	255420.764582523	44
2025.72653842568	244040.198267342	43
2025.73793779549	203135.816034916	43
2025.74933716529	165358.299989303	44
2025.7607365351	149329.085850829	39
2025.7721359049	94758.9194606483	35
2025.78353527471	70900.0626004975	30
2025.79493464451	62358.5072158949	29
2025.80633401431	260024.715660784	28
2025.81773338412	196015.050321938	31
2025.82913275392	184755.047119455	23
2025.84053212373	165365.11048415	31
2025.85193149353	141922.313933797	37
2025.86333086334	129012.204900206	37
2025.87473023314	161874.86428208	38
2025.88612960294	111854.382891316	38
2025.89752897275	83208.8744260473	37
2025.90892834255	50653.5911824138	27
2025.92032771236	30900.9737410752	14
