time	diffusion_coefficient	number_of_branches
2024.79179010173	287944.834762708	54
2024.80318947154	366303.440844746	82
2024.81458884134	391665.915859247	96
2024.82598821114	388756.379004952	99
2024.83738758095	372008.500750673	101
2024.84878695075	422918.636039862	100
2024.86018632056	450601.226701163	105
2024.87158569036	465009.097104277	113
2024.88298506017	454794.379754256	134
2024.89438442997	377643.729909251	144
2024.90578379978	336553.35691296	152
2024.91718316958	346417.329948726	147
2024.92858253938	382612.586756465	132
2024.93998190919	293542.848892892	112
2024.95138127899	260215.159844868	85
2024.9627806488	191923.028230778	55
2024.9741800186	125204.029112203	38
2024.9855793884	113395.590497548	36
2024.99697875821	90505.5036701234	41
2025.00837812801	136731.437076499	45
2025.01977749782	117833.44035746	44
2025.03117686762	97855.195311041	48
2025.04257623743	86250.252682603	59
2025.05397560723	96997.1357580817	68
2025.06537497704	106495.25495841	73
2025.07677434684	101525.968385329	73
2025.08817371664	77659.4690025227	61
2025.09957308645	89595.360478685	53
2025.11097245625	106055.475105399	50
2025.12237182606	100575.085706181	35
2025.13377119586	67896.6292406292	33
2025.14517056567	56261.4767595821	31
2025.15656993547	64658.0232869547	42
2025.16796930527	78793.3214452235	47
2025.17936867508	113917.451057	47
2025.19076804488	100917.387904378	53
2025.20216741469	124660.353003561	61
2025.21356678449	129397.805850149	75
2025.2249661543	149429.565859375	70
2025.2363655241	149177.435430108	62
2025.2477648939	134035.62612944	47
2025.25916426371	113687.935073222	39
2025.27056363351	104656.639324664	34
2025.28196300332	101880.615996305	38
2025.29336237312	102596.617978684	37
2025.30476174293	135144.923594065	39
2025.31616111273	113328.891668516	43
2025.32756048253	92305.7189816624	39.5
2025.33895985234	106831.694460455	35
2025.35035922214	119476.266027318	32
2025.36175859195	144114.232668571	33
2025.37315796175	175566.563635447	30
2025.38455733156	187564.477403426	28
2025.39595670136	326665.18918207	26
2025.40735607116	207173.252813781	26.5
2025.41875544097	205527.65322041	24
2025.43015481077	267549.068111618	23
2025.44155418058	372770.504141281	24
2025.45295355038	428400.259986425	26
2025.46435292019	414049.37448431	35
2025.47575228999	414748.435790645	49.5
2025.48715165979	402683.917671065	67
2025.4985510296	420944.977415046	86.5
2025.5099503994	424285.993087738	92
2025.52134976921	446948.210517472	92
2025.53274913901	446148.57108895	84
2025.54414850882	467250.339164609	76
2025.55554787862	460748.025010625	90.5
2025.56694724842	438293.42228938	113
2025.57834661823	406889.551420117	140
2025.58974598803	372209.156765293	139
2025.60114535784	356083.976503882	127
2025.61254472764	334603.344127682	105
2025.62394409745	307490.869960943	70
2025.63534346725	309538.344194361	60
2025.64674283705	293657.875183496	48
2025.65814220686	381998.715864359	42
2025.66954157666	368866.28465321	40
2025.68094094647	283055.527399237	43
2025.69234031627	258301.256071963	45
2025.70373968608	248560.654442343	42
2025.71513905588	309993.551502856	44
2025.72653842568	279891.304039593	43
2025.73793779549	215701.046023018	43
2025.74933716529	218573.487248139	44
2025.7607365351	187784.22302353	39
2025.7721359049	115161.072007316	35
2025.78353527471	82260.3029861803	30
2025.79493464451	88374.9613568782	29
2025.80633401431	443626.37652733	28
2025.81773338412	287258.69557988	31
2025.82913275392	163950.637369417	23
2025.84053212373	105574.611800185	31
2025.85193149353	111525.146588561	37
2025.86333086334	98354.7286997943	37
2025.87473023314	189360.437648869	38
2025.88612960294	161323.936976318	38
2025.89752897275	97228.904317341	37
2025.90892834255	53893.1539097481	27
2025.92032771236	27509.111894686	14
