time	95%HPD_lower_value	95%HPD_higher_value
2024.25803072649	74884.8010704205	74884.8010704205
2024.27479451212	11841.46624471	11841.46624471
2024.29155829776	1634.32329377918	38007.1074739394
2024.3083220834	4117.78139447107	68889.1433730822
2024.32508586903	NA	NA
2024.34184965467	55.9350457266297	39280.0666869585
2024.3586134403	576.532253944117	161866.637561927
2024.37537722594	400.331610361401	177676.933820603
2024.39214101158	246.406261215275	466484.29615043
2024.40890479721	352.104475046336	1186862.34130888
2024.42566858285	76.0589522102659	928663.924866882
2024.44243236848	7.15617450669707	1193505.61097616
2024.45919615412	254.454382647641	1760923.04084471
2024.47595993975	376.855424003972	1849358.11519045
2024.49272372539	507.055794876554	1887047.1912841
2024.50948751103	238.176412908396	2006031.83644197
2024.52625129666	1665.40103949964	2056373.59013743
2024.5430150823	1086.53694757833	2284360.44150318
2024.55977886793	6214.21112612594	2223834.36124044
2024.57654265357	20383.0049522107	1939909.01170419
2024.59330643921	4444.47673748103	1836331.86886718
2024.61007022484	75467.124320248	1977418.38446223
2024.62683401048	176715.776390813	1949712.86123688
2024.64359779611	159825.390101833	1882436.28989171
2024.66036158175	297249.466137645	1880657.63651629
2024.67712536739	513322.487356409	2153838.77473856
2024.69388915302	596343.803607755	2134400.61903525
2024.71065293866	685954.621608757	1900157.11980907
2024.72741672429	677477.368891977	1718925.87506544
2024.74418050993	524696.322944517	1568799.28817093
2024.76094429556	347692.749229443	1308197.96024846
2024.7777080812	486469.991341362	1429151.71029535
2024.79447186684	414666.820355002	1239158.89160076
2024.81123565247	260055.588181171	937263.258791711
2024.82799943811	189352.720002117	764647.068101862
2024.84476322374	211952.176160139	753899.773122239
2024.86152700938	245927.11500177	668851.91800832
2024.87829079502	220055.104497204	623233.357037434
2024.89505458065	192030.088059676	552352.556954817
2024.91181836629	145284.834961712	455351.226666137
2024.92858215192	190515.805416648	513464.355930783
2024.94534593756	170871.355691945	485692.390824798
2024.9621097232	123680.794542133	504346.538817224
2024.97887350883	55149.3466932776	215064.312747201
2024.99563729447	52552.6481975376	177316.694411348
2025.0124010801	50463.9831793104	194450.712624114
2025.02916486574	38183.1021253526	209576.976397214
2025.04592865138	34282.5863129175	233311.420210797
2025.06269243701	41849.3333966098	243304.051994952
2025.07945622265	39799.2237893004	213115.74660244
2025.09622000828	24795.5191710592	166630.234217304
2025.11298379392	25529.4311840889	147711.288883024
2025.12974757955	27889.3144245029	157287.031453429
2025.14651136519	21095.8402421079	153273.862977432
2025.16327515083	15349.0312937761	169115.305998789
2025.18003893646	20834.1417741039	229742.234011428
2025.1968027221	31496.7265983051	272635.795372869
2025.21356650773	56006.2314816861	334618.40500735
2025.23033029337	55815.2273196092	374703.343271046
2025.24709407901	29097.2488606071	298062.121287809
2025.26385786464	12593.0052028288	213728.287832674
2025.28062165028	24811.8191557455	230197.112009007
2025.29738543591	30423.6442402908	305619.237325594
2025.31414922155	27427.4453893208	263937.650921622
2025.33091300719	21119.5782627447	331860.225780099
2025.34767679282	13624.2496157109	429767.867166777
2025.36444057846	19147.3826816301	653256.532285531
2025.38120436409	15641.3030765505	847550.875646415
2025.39796814973	46788.6442676288	861361.167916083
2025.41473193536	16021.9779697538	807216.480105807
2025.431495721	2763.852317483	933296.532034726
2025.44825950664	199.978564457964	1129639.49450721
2025.46502329227	100182.386604559	1127125.26509452
2025.48178707791	137986.544640844	1002221.5318414
2025.49855086354	190574.954974984	1000436.40471382
2025.51531464918	134684.495482972	939873.815255131
2025.53207843482	183110.204736122	915498.271687353
2025.54884222045	152497.721780115	885051.296186258
2025.56560600609	203347.028681652	819021.984785192
2025.58236979172	199908.157470996	761764.806491974
2025.59913357736	179876.295774446	700008.188032836
2025.615897363	118169.984384318	649332.212955169
2025.63266114863	83051.2653237124	599824.602825527
2025.64942493427	90857.6952193248	637512.24015345
2025.6661887199	92590.0052581628	705629.085544016
2025.68295250554	77512.255784153	659813.112439858
2025.69971629118	47973.6267377302	636035.232389013
2025.71648007681	99038.8303224717	703390.862359149
2025.73324386245	93902.4159084798	577709.922309568
2025.75000764808	43343.6498412163	398156.812535691
2025.76677143372	53709.3576847863	414982.773834083
2025.78353521935	25417.5668638485	515787.978466828
2025.80029900499	25502.4184642899	152879.357200988
2025.81706279063	63513.6111402854	572052.237068324
2025.83382657626	75822.5278442194	336649.247525166
2025.8505903619	55334.8045330052	315431.281751943
2025.86735414753	43524.6769290857	272027.180955603
2025.88411793317	83374.5723190873	169624.973726132
2025.90088171881	54382.16632276	105282.419745293
2025.91764550444	18098.669423381	46077.7146918774
