time	diffusion_coefficient	number_of_branches
2024.25803072649	74884.8010704205	0.002
2024.27479451212	11841.46624471	0.002
2024.29155829776	16015.2679574324	0.0100000000000001
2024.3083220834	32515.531332778	0.0100000000000001
2024.32508586903	NA	0
2024.34184965467	9292.84688274574	0.02
2024.3586134403	38678.6920184715	0.0360000000000001
2024.37537722594	58658.4842550573	0.0580000000000001
2024.39214101158	124232.874392619	0.063
2024.40890479721	276398.446837817	0.101
2024.42566858285	223808.398428969	0.176
2024.44243236848	329757.743631987	0.281
2024.45919615412	371626.699750921	0.476
2024.47595993975	408379.204001747	0.794
2024.49272372539	508053.438112394	1.254
2024.50948751103	560859.002390942	2.012
2024.52625129666	615845.702314773	3.3
2024.5430150823	717539.16721519	5.36
2024.55977886793	761539.33261538	8.174
2024.57654265357	785038.876031653	11.661
2024.59330643921	840769.623061822	15.456
2024.61007022484	891318.175984098	19.842
2024.62683401048	947701.48491269	25.289
2024.64359779611	981566.542318	32.692
2024.66036158175	1044269.94588051	43.289
2024.67712536739	1180452.91561607	61.277
2024.69388915302	1324451.43365131	110.108
2024.71065293866	1184793.64837967	226.526
2024.72741672429	1187990.09293407	261.048
2024.74418050993	979935.583792049	213.274
2024.76094429556	754654.140030705	164.83
2024.7777080812	868257.695105986	148.293
2024.79447186684	785409.334741642	139.766
2024.81123565247	591922.204681645	137.667
2024.82799943811	460861.195707425	138.808
2024.84476322374	441581.538722013	135.603
2024.86152700938	422076.951944394	139.536
2024.87829079502	409884.314125953	158.507
2024.89505458065	350263.140108103	174.673
2024.91181836629	296013.033695785	183.209
2024.92858215192	331482.980930923	154.524
2024.94534593756	309026.755754887	126.666
2024.9621097232	264281.302319514	71.409
2024.97887350883	123290.174944858	51.159
2024.99563729447	105757.323950452	54.486
2025.0124010801	108361.205755439	62.703
2025.02916486574	111615.844904175	60.516
2025.04592865138	115870.273459446	74.027
2025.06269243701	126343.212133571	88.273
2025.07945622265	107852.175855296	84.139
2025.09622000828	78988.4348189573	72.376
2025.11298379392	79202.7684647906	54.761
2025.12974757955	75281.4479500495	43.284
2025.14651136519	67694.7768443504	45.87
2025.16327515083	73317.872926036	50.568
2025.18003893646	104419.690639642	52.688
2025.1968027221	129299.795729837	66.028
2025.21356650773	170278.293571316	81.811
2025.23033029337	187096.007302101	69.416
2025.24709407901	144523.119431956	51.369
2025.26385786464	98853.608668936	44.372
2025.28062165028	97743.8804027591	43.861
2025.29738543591	143848.102208804	41.078
2025.31414922155	121071.152946973	45.23
2025.33091300719	143451.498097606	37.875
2025.34767679282	164585.503272926	33.512
2025.36444057846	238862.756899506	31.78
2025.38120436409	319419.272011641	28.433
2025.39796814973	372237.404297928	27.451
2025.41473193536	294811.305833207	26.628
2025.431495721	330405.040938546	26.988
2025.44825950664	490752.600831701	27.361
2025.46502329227	513675.016330927	39.059
2025.48178707791	515950.571483693	61.478
2025.49855086354	528462.125867801	85.631
2025.51531464918	537735.807064678	90.306
2025.53207843482	513906.50782676	82.929
2025.54884222045	495406.946443013	85.199
2025.56560600609	489558.389947438	110.231
2025.58236979172	471890.592845774	140.231
2025.59913357736	426814.301142995	128.986
2025.615897363	361398.30477487	96.366
2025.63266114863	304689.700323428	66.947
2025.64942493427	308991.035191456	48.145
2025.6661887199	368670.247158455	41.946
2025.68295250554	306059.66539909	42.242
2025.69971629118	252928.538206769	42.898
2025.71648007681	319824.144488988	45.219
2025.73324386245	281944.881698251	41.833
2025.75000764808	200829.027456097	39.312
2025.76677143372	184435.327685761	33.936
2025.78353521935	132636.092814486	31.44
2025.80029900499	106083.881824049	26.677
2025.81706279063	251103.428970199	29.535
2025.83382657626	168175.385176878	30.182
2025.8505903619	163849.538646881	37.945
2025.86735414753	143206.847777531	43.705
2025.88411793317	124092.805108718	37
2025.90088171881	79178.857183606	33
2025.91764550444	32059.4609074631	19
