time	diffusion_coefficient	number_of_branches
2024.25803072649	74884.8010704205	0.002
2024.27479451212	11841.46624471	0.002
2024.29155829776	16015.2679574324	0.0100000000000001
2024.3083220834	32515.531332778	0.0100000000000001
2024.32508586903	NA	0
2024.34184965467	9292.84688274574	0.02
2024.3586134403	38678.6920184715	0.0360000000000001
2024.37537722594	58658.4842550573	0.0580000000000001
2024.39214101158	119958.822734948	0.063
2024.40890479721	256884.114682507	0.101
2024.42566858285	222003.961023227	0.176
2024.44243236848	321617.092175748	0.281
2024.45919615412	406403.936665609	0.476
2024.47595993975	405144.41949489	0.794
2024.49272372539	527921.091173561	1.254
2024.50948751103	573420.693327298	2.012
2024.52625129666	665559.589580232	3.3
2024.5430150823	738429.44995508	5.36
2024.55977886793	818543.886657512	8.174
2024.57654265357	822963.874887861	11.661
2024.59330643921	884534.773605662	15.456
2024.61007022484	951105.094442412	19.842
2024.62683401048	1020475.49814721	25.289
2024.64359779611	1080333.09698896	32.692
2024.66036158175	1121854.33303985	43.289
2024.67712536739	1270104.05792386	61.277
2024.69388915302	1500646.82497059	110.108
2024.71065293866	1237431.61917318	226.526
2024.72741672429	1181973.55912917	261.048
2024.74418050993	1068515.36919869	213.274
2024.76094429556	827527.592391837	164.83
2024.7777080812	1054864.60619894	148.293
2024.79447186684	891223.596087221	139.766
2024.81123565247	648586.676958573	137.667
2024.82799943811	463676.214752449	138.808
2024.84476322374	498627.032947493	135.603
2024.86152700938	462919.751323854	139.536
2024.87829079502	461802.520993998	158.507
2024.89505458065	347312.902457827	174.673
2024.91181836629	325705.586359265	183.209
2024.92858215192	361051.060924753	154.524
2024.94534593756	313318.623065292	126.666
2024.9621097232	210113.820826952	71.409
2024.97887350883	146692.044280507	51.159
2024.99563729447	112874.135587946	54.486
2025.0124010801	145828.589565753	62.703
2025.02916486574	115269.687026061	60.516
2025.04592865138	85340.413536974	74.027
2025.06269243701	104271.645852191	88.273
2025.07945622265	101315.397869102	84.139
2025.09622000828	89533.8303793128	72.376
2025.11298379392	109827.877634182	54.761
2025.12974757955	93246.1387191333	43.284
2025.14651136519	66176.6577059735	45.87
2025.16327515083	87027.2622922725	50.568
2025.18003893646	126957.241006083	52.688
2025.1968027221	115496.560333566	66.028
2025.21356650773	136384.483312302	81.811
2025.23033029337	148532.116557936	69.416
2025.24709407901	149139.315794496	51.369
2025.26385786464	127014.708255712	44.372
2025.28062165028	120116.112518286	43.861
2025.29738543591	171180.216837541	41.078
2025.31414922155	130991.358151574	45.23
2025.33091300719	130941.022198894	37.875
2025.34767679282	155742.117645476	33.512
2025.36444057846	213156.902863311	31.78
2025.38120436409	238956.098957747	28.433
2025.39796814973	353513.971790765	27.451
2025.41473193536	267523.084678387	26.628
2025.431495721	366001.74688713	26.988
2025.44825950664	523806.189407472	27.361
2025.46502329227	481595.452704813	39.059
2025.48178707791	442408.653661304	61.478
2025.49855086354	461504.25475895	85.631
2025.51531464918	469550.834125291	90.306
2025.53207843482	491752.604509687	82.929
2025.54884222045	502381.684421767	85.199
2025.56560600609	473170.073026356	110.231
2025.58236979172	412729.668952739	140.231
2025.59913357736	370982.306054463	128.986
2025.615897363	346920.781121271	96.366
2025.63266114863	347102.279514366	66.947
2025.64942493427	374688.564907859	48.145
2025.6661887199	418850.821221232	41.946
2025.68295250554	329003.101715031	42.242
2025.69971629118	297940.746187083	42.898
2025.71648007681	395932.583415309	45.219
2025.73324386245	274851.603775981	41.833
2025.75000764808	246886.541222473	39.312
2025.76677143372	235360.529809939	33.936
2025.78353521935	163282.856152117	31.44
2025.80029900499	139400.413746647	26.677
2025.81706279063	388380.226640274	29.535
2025.83382657626	133087.754017993	30.182
2025.8505903619	119614.639766682	37.945
2025.86735414753	123160.22406591	43.705
2025.88411793317	175603.333489395	37
2025.90088171881	84162.7676940474	33
2025.91764550444	34277.2746918905	19
