time	diffusion_coefficient	number_of_branches
2024.25803072649	74884.8010704205	0
2024.27479451212	11841.46624471	0
2024.29155829776	6866.62392789627	0
2024.3083220834	14387.1625089561	0
2024.32508586903	NA	0
2024.34184965467	3481.66491366778	0
2024.3586134403	24568.0534556151	0
2024.37537722594	17966.7385822333	0
2024.39214101158	32970.3942195691	0
2024.40890479721	56977.2239072905	0
2024.42566858285	68594.224664534	0
2024.44243236848	122190.949713234	0
2024.45919615412	94338.652410365	0
2024.47595993975	149080.817618748	0
2024.49272372539	197022.909613494	0
2024.50948751103	237734.305831652	2
2024.52625129666	357884.008324167	3
2024.5430150823	408505.571575836	5
2024.55977886793	515947.644824281	8
2024.57654265357	618123.570451276	12
2024.59330643921	701482.132373112	15
2024.61007022484	764944.134894651	19
2024.62683401048	816117.042468862	25
2024.64359779611	878742.768323895	32
2024.66036158175	960416.747833071	43
2024.67712536739	1100416.3558499	61
2024.69388915302	1241386.17403751	110
2024.71065293866	1112542.77296574	228
2024.72741672429	1139466.30998308	260
2024.74418050993	930821.64588266	212
2024.76094429556	700011.16028857	166
2024.7777080812	816114.498300556	150
2024.79447186684	721996.219687132	138
2024.81123565247	538006.630263769	139
2024.82799943811	415926.267721073	137
2024.84476322374	401815.027167396	134
2024.86152700938	402643.940963495	138
2024.87829079502	391344.391497645	158
2024.89505458065	332162.463835319	176
2024.91181836629	284446.810881379	186.5
2024.92858215192	318976.484542826	157
2024.94534593756	291179.360928546	125
2024.9621097232	234398.37203025	69
2024.97887350883	111848.733810896	49
2024.99563729447	98265.2916211679	52
2025.0124010801	96444.6996246176	61
2025.02916486574	94899.3357760118	59
2025.04592865138	98647.018144982	73
2025.06269243701	111817.607294611	88
2025.07945622265	95227.5009091308	84
2025.09622000828	64596.0311473939	71
2025.11298379392	68386.4318281621	53
2025.12974757955	63188.5122938384	43
2025.14651136519	55143.484139607	45
2025.16327515083	59253.9488511089	50
2025.18003893646	87515.2782809192	52
2025.1968027221	109453.008725468	65
2025.21356650773	148807.406370398	83
2025.23033029337	168943.804962043	69.5
2025.24709407901	127786.925662869	51
2025.26385786464	81796.5075609081	44
2025.28062165028	79150.7333432028	44
2025.29738543591	122889.133796692	41
2025.31414922155	98927.2613083754	45
2025.33091300719	109864.813382507	37
2025.34767679282	118066.581095694	33
2025.36444057846	166147.845615642	31
2025.38120436409	219419.836840956	28
2025.39796814973	272412.013587771	27
2025.41473193536	211512.550230264	26
2025.431495721	243020.722524559	23
2025.44825950664	401659.929299712	24
2025.46502329227	458643.285709476	36
2025.48178707791	469124.281346035	59
2025.49855086354	498171.300129529	87
2025.51531464918	507160.000737272	94
2025.53207843482	482246.557633809	84
2025.54884222045	463615.772733445	84
2025.56560600609	462371.477629215	111
2025.58236979172	458461.284418399	144
2025.59913357736	407957.624409083	133
2025.615897363	344111.948578024	95
2025.63266114863	282603.460974228	64
2025.64942493427	274060.160636897	47
2025.6661887199	324834.09468768	42
2025.68295250554	258245.435955407	42
2025.69971629118	197587.644868966	42
2025.71648007681	251809.331931547	45
2025.73324386245	232260.996923508	42
2025.75000764808	181261.09801335	39
2025.76677143372	123058.996464449	34
2025.78353521935	70900.280457146	30
2025.80029900499	72560.8301755579	26
2025.81706279063	205916.191530116	29
2025.83382657626	149993.184055495	31
2025.8505903619	142155.644756903	38
2025.86735414753	124849.144785167	44
2025.88411793317	122020.957513062	37
2025.90088171881	77395.4329552346	33
2025.91764550444	31211.1671709773	19
