time	diffusion_coefficient	number_of_branches
2024.25803072649	74884.8010704205	0
2024.27479451212	11841.46624471	0
2024.29155829776	6866.62392789627	0
2024.3083220834	14387.1625089561	0
2024.32508586903	NA	0
2024.34184965467	3481.66491366778	0
2024.3586134403	24568.0534556151	0
2024.37537722594	17966.7385822333	0
2024.39214101158	32970.3942195691	0
2024.40890479721	56977.2239072905	0
2024.42566858285	72095.1615568407	0
2024.44243236848	120606.961384319	0
2024.45919615412	94827.8097979517	0
2024.47595993975	144141.678990034	0
2024.49272372539	197902.44982975	0
2024.50948751103	240019.688211102	2
2024.52625129666	344607.139570256	3
2024.5430150823	408476.387606821	5
2024.55977886793	516449.894915075	8
2024.57654265357	615485.479796872	12
2024.59330643921	687697.197999288	15
2024.61007022484	796368.627939982	19
2024.62683401048	847871.920558664	25
2024.64359779611	952264.134500711	32
2024.66036158175	1022688.2632175	43
2024.67712536739	1181514.31652059	61
2024.69388915302	1426118.34412952	110
2024.71065293866	1161260.47018192	228
2024.72741672429	1146218.43347901	260
2024.74418050993	1033762.87182198	212
2024.76094429556	758555.155423723	166
2024.7777080812	993257.942311414	150
2024.79447186684	841226.728564738	138
2024.81123565247	599895.632912259	139
2024.82799943811	421917.628196734	137
2024.84476322374	443520.701717291	134
2024.86152700938	437186.48670481	138
2024.87829079502	443589.282149166	158
2024.89505458065	332450.31744157	176
2024.91181836629	315230.957158569	186.5
2024.92858215192	349024.231081764	157
2024.94534593756	299342.719279174	125
2024.9621097232	198223.979459729	69
2024.97887350883	133856.997420041	49
2024.99563729447	106216.913180556	52
2025.0124010801	130408.073973226	61
2025.02916486574	100256.891004704	59
2025.04592865138	77349.5737133771	73
2025.06269243701	98789.3789376017	88
2025.07945622265	91878.8734797481	84
2025.09622000828	77147.820243025	71
2025.11298379392	96626.9983069427	53
2025.12974757955	77019.0572361718	43
2025.14651136519	54941.344570836	45
2025.16327515083	70685.4602502942	50
2025.18003893646	106770.161300608	52
2025.1968027221	100349.694966903	65
2025.21356650773	119545.062143012	83
2025.23033029337	137336.50258538	69.5
2025.24709407901	125578.020227372	51
2025.26385786464	102315.593766217	44
2025.28062165028	93027.1436696014	44
2025.29738543591	143734.445814269	41
2025.31414922155	110833.249433315	45
2025.33091300719	105336.653042807	37
2025.34767679282	118193.599634219	33
2025.36444057846	156111.271774369	31
2025.38120436409	179124.554206402	28
2025.39796814973	303212.856855699	27
2025.41473193536	197121.44494195	26
2025.431495721	280538.212098268	23
2025.44825950664	409319.438316509	24
2025.46502329227	414332.558384389	36
2025.48178707791	390412.895105703	59
2025.49855086354	420946.038968686	87
2025.51531464918	442058.016170862	94
2025.53207843482	461041.895314359	84
2025.54884222045	471621.827927818	84
2025.56560600609	440836.20733248	111
2025.58236979172	390299.88771477	144
2025.59913357736	350521.256421737	133
2025.615897363	329332.539195665	95
2025.63266114863	313469.662767371	64
2025.64942493427	321630.363581926	47
2025.6661887199	364800.855402508	42
2025.68295250554	276255.959720114	42
2025.69971629118	234213.134577695	42
2025.71648007681	308867.545686845	45
2025.73324386245	237891.944368098	42
2025.75000764808	216807.00561438	39
2025.76677143372	155689.083922647	34
2025.78353521935	82260.5811850928	30
2025.80029900499	90617.1472383143	26
2025.81706279063	314943.377894368	29
2025.83382657626	120009.973379755	31
2025.8505903619	113167.093711766	38
2025.86735414753	115102.89363216	44
2025.88411793317	172686.898970994	37
2025.90088171881	82261.378951713	33
2025.91764550444	33445.6178048183	19
