time	95%HPD_lower_value	95%HPD_higher_value
2024.49136725322	6200.89069316515	102986.846758179
2024.49485438881	19035.3956948625	146311.056214755
2024.4983415244	16019.1842766163	189532.676626412
2024.50182866	4234.99853118763	232651.348334632
2024.50531579559	8480.4820974431	306921.227522748
2024.50880293118	260.927833204923	672015.200018089
2024.51229006677	16965.743901807	1040698.97416692
2024.51577720237	15570.7272467851	1412929.70526944
2024.51926433796	1527.37398280672	1788664.51003149
2024.52275147355	8416.77457415005	2167860.48079594
2024.52623860915	1470.22318221148	2571126.15354789
2024.52972574474	2566.82383975432	2933722.30994119
2024.53321288033	1050.09959292788	2823556.22679448
2024.53670001593	1278.44209543153	2102945.54245685
2024.54018715152	186.874354749074	2261603.32454907
2024.54367428711	281.018230517102	2863209.01480451
2024.5471614227	378.879466805745	3330865.56154267
2024.5506485583	869.735588233055	3490868.48383809
2024.55413569389	1726.52538617953	4431611.05910462
2024.55762282948	304.593213801537	5066794.37744876
2024.56110996508	204.151941912993	6035571.30403227
2024.56459710067	392.469054466218	7224861.93698421
2024.56808423626	19.8508867528077	8251320.27443295
2024.57157137186	3409.7880914339	10277071.1353093
2024.57505850745	4679.00003391046	12259430.5560923
2024.57854564304	7813.43258448993	16214617.9230694
2024.58203277863	1356.22058354192	22321162.8095952
2024.58551991423	93970.709590153	21641014.3770427
2024.58900704982	171281.091980104	21195481.9207197
2024.59249418541	248946.307535371	21082097.1274554
2024.59598132101	750383.857069854	21706134.9985418
2024.5994684566	962963.740010755	21615383.3838522
2024.60295559219	985212.606030098	21126766.1561763
2024.60644272779	1411823.65448483	21410544.7959822
2024.60992986338	986419.529906662	21363255.0457336
2024.61341699897	1127262.43968001	20963993.406571
2024.61690413456	1224275.38491233	20215060.1520301
2024.62039127016	2159477.48505307	19365443.3578415
2024.62387840575	872759.416430519	15597834.6654144
2024.62736554134	274775.061527579	14442405.068479
2024.63085267694	143160.921629666	14034850.127128
2024.63433981253	95414.8404776631	13678143.0326006
2024.63782694812	272492.226953205	13813182.0147268
2024.64131408372	698111.620423475	14926814.467538
2024.64480121931	742360.490670458	15212822.2366118
2024.6482883549	358233.843231743	16094436.2706275
2024.65177549049	29638.4819730453	16627977.3327635
2024.65526262609	243662.918966676	17931618.8323728
2024.65874976168	794287.359357868	19079109.4744134
2024.66223689727	854485.155136091	19798940.0320475
2024.66572403287	998771.251781229	20676746.2207169
2024.66921116846	1399131.31799113	22342846.5473087
2024.67269830405	902172.570668485	23885041.0206015
2024.67618543965	2494347.13013458	26888280.7926283
2024.67967257524	2764891.58306862	29195363.0371849
2024.68315971083	2339384.11351039	30314743.1364901
2024.68664684642	4246624.4355411	34321452.5831427
2024.69013398202	4241255.26837032	36494881.843586
2024.69362111761	4307499.26133413	39019532.3208194
2024.6971082532	5201272.44761673	43636093.0017664
2024.7005953888	6374019.68982313	45375730.5105788
2024.70408252439	7825079.61887435	49563477.8779109
2024.70756965998	8795184.17125073	53281926.9694232
2024.71105679558	10113718.420893	56930855.7424233
2024.71454393117	9324095.73743156	57955381.6216931
2024.71803106676	11869146.268463	62010552.5874695
2024.72151820235	11535644.6723933	64804012.4060455
2024.72500533795	14155504.2583532	69424569.6124444
2024.72849247354	15122228.3665834	71507013.0838046
2024.73197960913	18342721.4017629	77488682.5026084
2024.73546674473	20403916.6750838	83075489.0766761
2024.73895388032	19376763.2585818	85289503.5561607
2024.74244101591	21098367.678466	87494022.8311845
2024.74592815151	21260414.0321675	95535267.6307413
2024.7494152871	22965383.6522896	99702166.5395231
2024.75290242269	28138827.4206192	104451343.02834
2024.75638955828	27039222.7590318	103797785.548536
2024.75987669388	27490663.1006974	104661320.413282
2024.76336382947	26240935.0675188	101453104.038364
2024.76685096506	23230014.3433334	97077303.6642649
2024.77033810066	21165993.2986982	92578474.8200821
2024.77382523625	21029673.6582536	89598511.7012806
2024.77731237184	22155130.4669848	87419468.3930043
2024.78079950744	19199160.7024	76542673.5589045
2024.78428664303	19952342.2756932	76480335.0892067
2024.78777377862	20437784.677452	73911262.3942167
2024.79126091421	16705000.4116489	65464906.8328043
2024.79474804981	15930690.5167904	59338243.3785777
2024.7982351854	14545065.9629997	54854406.8564721
2024.80172232099	15556157.086447	55140736.9352282
2024.80520945659	15279967.5487936	53322651.109707
2024.80869659218	14510947.6061376	52506071.0573728
2024.81218372777	11846571.3309379	48059891.9671317
2024.81567086337	11533336.5102381	45764948.0651624
2024.81915799896	10767275.2565808	42258480.8208218
2024.82264513455	9079338.29956987	37320978.6621697
2024.82613227014	7360276.31724433	32920817.2669372
2024.82961940574	5925437.35422124	28965572.7159661
2024.83310654133	3908707.28440662	23456711.8637056
2024.83659367692	3285390.33371956	22946308.6006163
