time	diffusion_coefficient	number_of_branches
2024.25233102933	60259.542994999	0.002
2024.25769542064	74024.208782196	0.002
2024.26305981195	87795.4820267615	0.002
2024.26842420327	52406.0012777083	0.00300000000000004
2024.27378859458	17763.6120449439	0.000999999999999999
2024.2791529859	17012.6303124173	0.002
2024.28451737721	15260.8965839967	0.00500000000000006
2024.28988176852	24070.9295641026	0.00500000000000006
2024.29524615984	32873.3724209692	0.00500000000000006
2024.30061055115	41668.1947630529	0.00500000000000006
2024.30597494247	50455.3661640468	0.00500000000000006
2024.31133933378	44336.8711535996	0.004
2024.3167037251	51714.190468102	0.004
2024.32206811641	12239.1846813722	0.000999999999999999
2024.32743250772	0.0431003612614392	0.000999999999999999
2024.33279689904	6292.68618769202	0.00300000000000001
2024.33816129035	11530.7525035013	0.006
2024.34352568166	14710.4261456423	0.0140000000000001
2024.34889007298	29037.4711190304	0.018
2024.35425446429	33058.2900216489	0.024
2024.35961885561	48051.4984987014	0.025
2024.36498324692	67036.7601706637	0.025
2024.37034763823	66931.8014242353	0.031
2024.37571202955	82831.9094089487	0.0370000000000001
2024.38107642086	104085.870557855	0.0420000000000001
2024.38644081218	149589.730908027	0.032
2024.39180520349	178044.799413128	0.039
2024.3971695948	190543.163366479	0.05
2024.40253398612	276161.935767449	0.055
2024.40789837743	337175.929909883	0.072
2024.41326276875	310670.153606745	0.09
2024.41862716006	267592.237396841	0.107
2024.42399155137	282393.096604378	0.122
2024.42935594269	355075.57747729	0.149
2024.434720334	366335.01533056	0.183
2024.44008472532	426988.127148266	0.203
2024.44544911663	443589.040114604	0.252
2024.45081350794	390789.793547741	0.332
2024.45617789926	435490.026898097	0.37
2024.46154229057	434230.799790831	0.436
2024.46690668189	426140.611403607	0.532
2024.4722710732	421984.860609665	0.626
2024.47763546452	461578.963350167	0.737
2024.48299985583	524830.693725684	0.843
2024.48836424714	555690.648404182	1.022
2024.49372863846	569162.443162001	1.158
2024.49909302977	567346.610847513	1.364
2024.50445742108	584603.594333751	1.617
2024.5098218124	630537.073455456	1.86
2024.51518620371	666995.462029253	2.199
2024.52055059503	707262.29367288	2.508
2024.52591498634	669978.250641988	3.008
2024.53127937765	745148.069219255	3.466
2024.53664376897	740411.880910537	4.106
2024.54200816028	759551.302817308	4.814
2024.5473725516	777590.651082619	5.558
2024.55273694291	789879.791393829	6.449
2024.55810133423	792328.674837097	7.343
2024.56346572554	826300.321522888	8.299
2024.56883011685	822270.963131996	9.361
2024.57419450817	823276.083806499	10.498
2024.57955889948	843956.5463843	11.515
2024.5849232908	864484.797614072	12.414
2024.59028768211	875923.909864527	13.697
2024.59565207342	895331.2187467	15.032
2024.60101646474	923957.913714082	16.053
2024.60638085605	954071.33456722	17.257
2024.61174524736	968018.1043525	18.607
2024.61710963868	991725.086990153	19.98
2024.62247402999	1010452.90826094	21.501
2024.62783842131	1030881.05985375	23.455
2024.63320281262	1046548.533944	25.072
2024.63856720394	1063270.56305598	27.005
2024.64393159525	1081921.34649039	29.463
2024.64929598656	1104342.06816856	31.907
2024.65466037788	1136784.83606482	34.62
2024.66002476919	1168253.48655168	37.767
2024.6653891605	1209583.89346197	41.241
2024.67075355182	1257087.34478154	45.497
2024.67611794313	1342137.77880252	50.787
2024.68148233445	1433945.17937768	58.274
2024.68684672576	1531531.12935785	68.221
2024.69221111707	1599341.96258179	81.559
2024.69757550839	1645741.22230998	100.41
2024.7029398997	1645920.87157248	127.219
2024.70830429102	1650587.04166777	143.041
2024.71366868233	1696755.34659854	144.869
2024.71903307365	1781296.09243271	147.467
2024.72439746496	1744031.37360475	147.566
2024.72976185627	1691777.99848584	142.653
2024.73512624759	1629069.40524429	133.51
2024.7404906389	1544859.70999139	117.898
2024.74585503021	1498223.85623639	88.661
2024.75121942153	1415513.90765802	76.706
2024.75658381284	1298379.51290922	70.033
2024.76194820416	1210846.44729555	64.386
2024.76731259547	1162720.60806137	54.808
2024.77267698678	1015550.07258762	48.037
2024.7780413781	873726.354851304	40.206
2024.78340576941	745867.902625467	31.332
