time	diffusion_coefficient	number_of_branches
2024.25233102933	60259.542994999	0.002
2024.25769542064	74024.208782196	0.002
2024.26305981195	87795.4820267615	0.002
2024.26842420327	52406.0012777083	0.00300000000000004
2024.27378859458	17763.6120449439	0.000999999999999999
2024.2791529859	17012.6303124173	0.002
2024.28451737721	15260.8965839967	0.00500000000000006
2024.28988176852	24070.9295641026	0.00500000000000006
2024.29524615984	32873.3724209692	0.00500000000000006
2024.30061055115	41668.1947630529	0.00500000000000006
2024.30597494247	50455.3661640468	0.00500000000000006
2024.31133933378	44336.8711535996	0.004
2024.3167037251	51714.190468102	0.004
2024.32206811641	12239.1846813722	0.000999999999999999
2024.32743250772	0.0431003612614392	0.000999999999999999
2024.33279689904	6292.68618769202	0.00300000000000001
2024.33816129035	11530.7525035013	0.006
2024.34352568166	14710.4261456423	0.0140000000000001
2024.34889007298	29037.4711190304	0.018
2024.35425446429	33058.2900216489	0.024
2024.35961885561	48051.4984987014	0.025
2024.36498324692	67036.7601706637	0.025
2024.37034763823	66931.8014242353	0.031
2024.37571202955	82831.9094089487	0.0370000000000001
2024.38107642086	104085.870557855	0.0420000000000001
2024.38644081218	149589.730908027	0.032
2024.39180520349	174359.866250546	0.039
2024.3971695948	182650.314133101	0.05
2024.40253398612	276057.469281881	0.055
2024.40789837743	312850.741262775	0.072
2024.41326276875	301290.196782526	0.09
2024.41862716006	255380.496104556	0.107
2024.42399155137	267550.33521727	0.122
2024.42935594269	333591.762468787	0.149
2024.434720334	331381.212967279	0.183
2024.44008472532	394056.198226239	0.203
2024.44544911663	428661.976556113	0.252
2024.45081350794	379766.580109722	0.332
2024.45617789926	446228.732521381	0.37
2024.46154229057	476341.823097672	0.436
2024.46690668189	431273.872753219	0.532
2024.4722710732	418169.877021588	0.626
2024.47763546452	461225.508362553	0.737
2024.48299985583	525996.585396084	0.843
2024.48836424714	556787.003389919	1.022
2024.49372863846	580951.575952181	1.158
2024.49909302977	591666.313776306	1.364
2024.50445742108	607850.709423603	1.617
2024.5098218124	642288.303450778	1.86
2024.51518620371	708227.013856844	2.199
2024.52055059503	752341.890168143	2.508
2024.52591498634	756106.421563918	3.008
2024.53127937765	819413.21355332	3.466
2024.53664376897	811942.552966505	4.106
2024.54200816028	805988.183780182	4.814
2024.5473725516	831579.087301087	5.558
2024.55273694291	841044.44055387	6.449
2024.55810133423	864342.834804639	7.343
2024.56346572554	877515.970945791	8.299
2024.56883011685	867105.811499181	9.361
2024.57419450817	868921.759935411	10.498
2024.57955889948	877007.008066976	11.515
2024.5849232908	902749.830547782	12.414
2024.59028768211	932676.248538386	13.697
2024.59565207342	958431.672372341	15.032
2024.60101646474	993723.587621066	16.053
2024.60638085605	1030084.45180639	17.257
2024.61174524736	1043002.23254316	18.607
2024.61710963868	1068605.1969044	19.98
2024.62247402999	1082866.5278965	21.501
2024.62783842131	1126708.93064207	23.455
2024.63320281262	1154287.12646401	25.072
2024.63856720394	1172767.44930362	27.005
2024.64393159525	1197265.8219847	29.463
2024.64929598656	1210261.2338269	31.907
2024.65466037788	1243040.67476083	34.62
2024.66002476919	1270993.37662562	37.767
2024.6653891605	1318565.36333507	41.241
2024.67075355182	1374221.94214816	45.497
2024.67611794313	1461004.0425952	50.787
2024.68148233445	1572124.2824256	58.274
2024.68684672576	1683476.16795737	68.221
2024.69221111707	1790988.9206132	81.559
2024.69757550839	1887182.07820775	100.41
2024.7029398997	1879245.78496318	127.219
2024.70830429102	1778019.60191051	143.041
2024.71366868233	1752967.7246669	144.869
2024.71903307365	1994099.47945268	147.467
2024.72439746496	1912643.73224014	147.566
2024.72976185627	1838380.35128915	142.653
2024.73512624759	1791871.32114399	133.51
2024.7404906389	1747797.72545011	117.898
2024.74585503021	1699439.91667671	88.661
2024.75121942153	1542690.87303286	76.706
2024.75658381284	1452735.34925912	70.033
2024.76194820416	1347021.64204539	64.386
2024.76731259547	1236521.09703129	54.808
2024.77267698678	1096224.17141073	48.037
2024.7780413781	966855.61573157	40.206
2024.78340576941	848396.145558059	31.332
