time	diffusion_coefficient	number_of_branches
2024.25233102933	60259.542994999	0
2024.25769542064	74024.208782196	0
2024.26305981195	87795.4820267615	0
2024.26842420327	52406.0012777083	0
2024.27378859458	17763.6120449439	0
2024.2791529859	17012.6303124173	0
2024.28451737721	4989.13613829639	0
2024.28988176852	8222.47572114952	0
2024.29524615984	11458.4747539552	0
2024.30061055115	14697.1300988289	0
2024.30597494247	17938.4386198622	0
2024.31133933378	15130.3351217241	0
2024.3167037251	17543.8680017455	0
2024.32206811641	12239.1846813722	0
2024.32743250772	0.0431003612614392	0
2024.33279689904	6292.68618769202	0
2024.33816129035	8865.97345724162	0
2024.34352568166	7282.2221637638	0
2024.34889007298	24792.4678541134	0
2024.35425446429	21677.8731424594	0
2024.35961885561	30081.7779519485	0
2024.36498324692	45248.7227170322	0
2024.37034763823	22852.3701399726	0
2024.37571202955	29056.2777391513	0
2024.38107642086	32652.4266156733	0
2024.38644081218	41978.3702318397	0
2024.39180520349	42721.3269640094	0
2024.3971695948	40164.2747517841	0
2024.40253398612	66345.439403278	0
2024.40789837743	72694.1402533095	0
2024.41326276875	43628.130453594	0
2024.41862716006	57309.8021244004	0
2024.42399155137	66834.4072406518	0
2024.42935594269	94502.7837266516	0
2024.434720334	136338.928623089	0
2024.44008472532	154211.188967159	0
2024.44544911663	125586.748109284	0
2024.45081350794	99590.5939188955	0
2024.45617789926	98198.7625837476	0
2024.46154229057	117848.400889499	0
2024.46690668189	123016.352022814	0
2024.4722710732	145580.578561416	0
2024.47763546452	174648.365105167	0
2024.48299985583	195034.448375624	0
2024.48836424714	187531.310149282	0
2024.49372863846	228965.408883482	0
2024.49909302977	271211.692338434	0
2024.50445742108	254549.338365892	0
2024.5098218124	265297.892489319	2
2024.51518620371	320805.180739364	2
2024.52055059503	342303.573967938	2
2024.52591498634	370583.882273183	3
2024.53127937765	401712.408029165	3
2024.53664376897	414139.483206323	4
2024.54200816028	436564.580636583	5
2024.5473725516	462199.383368946	5
2024.55273694291	482002.459043359	6
2024.55810133423	527287.342291678	7
2024.56346572554	569619.154958974	8
2024.56883011685	603441.76648661	9
2024.57419450817	628396.216678748	10
2024.57955889948	667415.74664202	12
2024.5849232908	702056.454450635	12
2024.59028768211	729783.806796585	14
2024.59565207342	737487.850040462	15
2024.60101646474	765359.123295804	16
2024.60638085605	795517.189134387	17
2024.61174524736	809860.121328996	18
2024.61710963868	840271.257170301	20
2024.62247402999	870972.829833457	21
2024.62783842131	911485.363327395	23
2024.63320281262	923434.060759764	25
2024.63856720394	943047.252888913	27
2024.64393159525	977540.730454794	29
2024.64929598656	989866.548873206	32
2024.65466037788	1027859.11765029	34
2024.66002476919	1067750.97007492	38
2024.6653891605	1114185.75031912	41
2024.67075355182	1179634.75286618	45
2024.67611794313	1239749.02994089	51
2024.68148233445	1335503.7210331	58
2024.68684672576	1406009.92404904	67
2024.69221111707	1472140.30555164	82
2024.69757550839	1537545.00617879	100
2024.7029398997	1560258.19664794	127.5
2024.70830429102	1535451.11228415	143.5
2024.71366868233	1596718.19323828	144
2024.71903307365	1687694.98942949	148
2024.72439746496	1660284.65064168	147.5
2024.72976185627	1612459.61954668	143
2024.73512624759	1534040.6652623	134
2024.7404906389	1431191.79276419	118
2024.74585503021	1396224.52616915	88
2024.75121942153	1313313.78484549	76
2024.75658381284	1191561.80324801	70
2024.76194820416	1108447.67517464	65
2024.76731259547	1045927.39244623	56
2024.77267698678	919430.150706771	48
2024.7780413781	762973.437625743	40
2024.78340576941	624820.937605278	30
