time	diffusion_coefficient	number_of_branches
2024.25233102933	60259.542994999	0
2024.25769542064	74024.208782196	0
2024.26305981195	87795.4820267615	0
2024.26842420327	52406.0012777083	0
2024.27378859458	17763.6120449439	0
2024.2791529859	17012.6303124173	0
2024.28451737721	4989.13613829639	0
2024.28988176852	8222.47572114952	0
2024.29524615984	11458.4747539552	0
2024.30061055115	14697.1300988289	0
2024.30597494247	17938.4386198622	0
2024.31133933378	15130.3351217241	0
2024.3167037251	17543.8680017455	0
2024.32206811641	12239.1846813722	0
2024.32743250772	0.0431003612614392	0
2024.33279689904	6292.68618769202	0
2024.33816129035	8865.97345724162	0
2024.34352568166	7282.2221637638	0
2024.34889007298	24792.4678541134	0
2024.35425446429	21677.8731424594	0
2024.35961885561	30081.7779519485	0
2024.36498324692	45248.7227170322	0
2024.37034763823	22852.3701399726	0
2024.37571202955	29056.2777391513	0
2024.38107642086	32652.4266156733	0
2024.38644081218	41978.3702318397	0
2024.39180520349	42721.3269640094	0
2024.3971695948	40164.2747517841	0
2024.40253398612	66345.439403278	0
2024.40789837743	72694.1402533095	0
2024.41326276875	43628.130453594	0
2024.41862716006	58062.5830332869	0
2024.42399155137	78564.7349420569	0
2024.42935594269	100010.783905219	0
2024.434720334	140736.489824977	0
2024.44008472532	151572.456032713	0
2024.44544911663	125586.748109284	0
2024.45081350794	115838.49358709	0
2024.45617789926	110205.380469685	0
2024.46154229057	125362.722984721	0
2024.46690668189	127957.408776768	0
2024.4722710732	149355.381706993	0
2024.47763546452	164533.849911722	0
2024.48299985583	185130.182039202	0
2024.48836424714	193125.282768812	0
2024.49372863846	228965.408883482	0
2024.49909302977	262526.878806384	0
2024.50445742108	246883.392698397	0
2024.5098218124	261744.356280786	2
2024.51518620371	313779.47906034	2
2024.52055059503	344079.107469201	2
2024.52591498634	366644.050719017	3
2024.53127937765	408899.625970361	3
2024.53664376897	421734.246662009	4
2024.54200816028	441446.902010248	5
2024.5473725516	465756.396477034	5
2024.55273694291	514570.153347295	6
2024.55810133423	533749.747740161	7
2024.56346572554	566181.925482794	8
2024.56883011685	598526.913822307	9
2024.57419450817	630246.734068252	10
2024.57955889948	687609.681075487	12
2024.5849232908	702520.28390941	12
2024.59028768211	726096.090696077	14
2024.59565207342	759382.962662909	15
2024.60101646474	789876.912430901	16
2024.60638085605	836210.170539569	17
2024.61174524736	851168.767631509	18
2024.61710963868	881745.199028061	20
2024.62247402999	913515.632842968	21
2024.62783842131	962375.757826608	23
2024.63320281262	985354.570199613	25
2024.63856720394	1021547.97303746	27
2024.64393159525	1048770.98866267	29
2024.64929598656	1087136.11662191	32
2024.65466037788	1111598.20044418	34
2024.66002476919	1150259.48501466	38
2024.6653891605	1223615.68958898	41
2024.67075355182	1300845.91167585	45
2024.67611794313	1357978.67392052	51
2024.68148233445	1480083.93540116	58
2024.68684672576	1584749.28956996	67
2024.69221111707	1706847.28933434	82
2024.69757550839	1801570.43095524	100
2024.7029398997	1804672.65973627	127.5
2024.70830429102	1668231.18048021	143.5
2024.71366868233	1630181.26356519	144
2024.71903307365	1933861.81269363	148
2024.72439746496	1850610.51886887	147.5
2024.72976185627	1791427.53205619	143
2024.73512624759	1710371.58245013	134
2024.7404906389	1628562.18321402	118
2024.74585503021	1570565.70278698	88
2024.75121942153	1415258.727554	76
2024.75658381284	1319524.96188789	70
2024.76194820416	1229124.80946737	65
2024.76731259547	1106061.31976873	56
2024.77267698678	956856.074886201	48
2024.7780413781	804444.213294503	40
2024.78340576941	663250.629420999	30
