state	joint	prior	likelihood	flyway.clock.rate	flyway.meanRate	flyway.rates.Atlantic.Central	flyway.rates.Atlantic.Mississippi	flyway.rates.Atlantic.Pacific	flyway.rates.Central.Mississippi	flyway.rates.Central.Pacific	flyway.rates.Mississippi.Pacific	flyway.rates.Central.Atlantic	flyway.rates.Mississippi.Atlantic	flyway.rates.Pacific.Atlantic	flyway.rates.Mississippi.Central	flyway.rates.Pacific.Central	flyway.rates.Pacific.Mississippi	flyway.indicators.Atlantic.Central	flyway.indicators.Atlantic.Mississippi	flyway.indicators.Atlantic.Pacific	flyway.indicators.Central.Mississippi	flyway.indicators.Central.Pacific	flyway.indicators.Mississippi.Pacific	flyway.indicators.Central.Atlantic	flyway.indicators.Mississippi.Atlantic	flyway.indicators.Pacific.Atlantic	flyway.indicators.Mississippi.Central	flyway.indicators.Pacific.Central	flyway.indicators.Pacific.Mississippi	flyway.nonZeroRates	flyway.branchRates	c_flyway.count[1]	c_allTransitions[1]
100000	-781.6811120217342	-141.5139071133145	-640.1672049084196	0.6586980003042139	0.6586980003042118	0.38447388992087944	0.38366426509945833	8.160863421300919	2.1526563942632952	0.8760804407237673	2.6204114293426026	1.0164866563379016	1.6874461642933898	0.2207250443733307	0.2276742279606276	3.1501681188654977	0.8055750707424927	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	214.0	219.0
200000	-773.6357246297465	-122.48358383857956	-651.152140791167	0.5967508145749401	0.5967508145749387	0.2973770192805526	0.3246235109747097	2.0356723246811192	2.2338369925342243	0.4568069193975896	0.9236653110344437	1.2353953830554505	1.6356263191120024	0.2278476399495906	1.6304373074978638	3.2881229971426627	0.533115938107322	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	214.0	223.0
300000	-760.8880139331085	-119.18709634263277	-641.7009175904757	0.5892407342963667	0.5892407342963675	1.5104896509274879	0.2614071137361079	0.16528940487428753	1.936630012016938	0.2077432779649304	1.5154870710588058	0.8168905030810125	1.5417281733425043	0.18261134593071712	0.9007508860475285	3.963733322003476	1.0303212755163988	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	218.0	213.0
400000	-765.5051166175604	-127.37169751965459	-638.1334190979057	0.6661620388605967	0.6661620388605963	0.03376897592404364	0.22662009712140413	1.219974817851637	0.7987295618862883	0.0393729212490164	0.16701644073995256	0.0052554300198443555	1.0328881787135877	0.6719900975337156	0.5922394356424177	1.6985897142083992	0.7217802721245591	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.0	0.0	225.0	222.0
500000	-768.9589100319655	-126.46733894011913	-642.4915710918464	0.683866599342169	0.6838665993421684	0.6635953370556027	0.12755219253497543	0.02152659314501806	0.6646928710737873	0.18951765329341233	0.068397328516835	0.7327084420745358	0.694219607822345	0.31972752387768827	0.40975434213205025	1.4936986739019584	0.4696406348623737	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	8.0	0.0	225.0	224.0
600000	-776.2510504955217	-115.28778571589676	-660.9632647796249	0.5380371976737229	0.5380371976737213	0.407176959442165	0.24849390941612542	4.572734807368722	3.4007079981804296	4.868984899986236	2.4578151018518164	0.8829062569962066	1.8869843481067643	0.0779998414171191	1.2663448313865118	0.07383949483932736	0.5296202850536387	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	220.0	226.0
700000	-764.024751717454	-114.7195316029378	-649.3052201145163	0.6034864554278919	0.6034864554278901	4.5685103780729355	0.1480465115011227	0.06166876518075751	1.4063644395109258	1.612788150976044	0.0034657264269346367	0.4238728054403785	0.7126217145104861	0.17541057700832446	0.4132877285195569	0.0559688355348847	2.009331817921193	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	235.0	230.0
800000	-765.9367075594437	-114.74331508107085	-651.1933924783729	0.5561418794011135	0.5561418794011115	0.1480516996938347	0.14941795936195126	0.9021717691384715	1.9510575199721845	2.014990304676426	1.393197127408322	0.5655872605267185	1.3042422034831889	3.426077989607673	0.6697013918782437	0.2668798445392692	1.8946198899529738	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	229.0	232.0
900000	-769.9556017584628	-120.57194126905115	-649.3836604894116	0.5992542369793644	0.5992542369793656	0.5666580467144621	0.5264278898503205	0.2931424580348433	2.5758306317668542	3.4433347490379242	0.18379581105552803	1.0700289870789659	1.8487081049346201	1.5944743666208119	1.1802259939722868	0.3585523096544507	0.1627528291732761	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	8.0	0.0	220.0	226.0
1000000	-770.5971945316495	-124.68610822585876	-645.9110863057907	0.5972335239835082	0.5972335239835057	0.13348759407925764	0.4323681937094655	6.231066915289333	1.4439005714279602	0.14279433102890718	0.04765369301187617	0.8894911948136147	1.9267687854954472	0.2667066429101175	0.500718823091509	3.550236705589944	0.4926132115879196	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	216.0	213.0
