trait	country	admin1	admin2	collection_date	latitude	longitude
EPI_ISL_20206696|A/Chicken/AB/FAV-0340-001/2025__H5N1_|H5N1|Canada-AB|Unknown|2025-10-03|domestic_avian|D1.1	Canada	AB	Unknown	2025-10-03	56.2224539671624	-116.112038295088
EPI_ISL_19792234|A/Chicken/AB/FAV-0354-2/2024|H5N1|Canada-AB|Unknown|2024-11-11|domestic_avian|D1.1	Canada	AB	Unknown	2024-11-11	51.6403662537822	-110.720067612201
EPI_ISL_20208386|A/Black-Billed_Magpie/AB/FAV-0101-2/2025|H5N1|Canada-AB|Unknown|2025-01-27|wild_avian|D1.1	Canada	AB	Unknown	2025-01-27	51.8877994680364	-111.687435073503
EPI_ISL_20208387|A/Black-Billed_Magpie/AB/FAV-0102/2025|H5N1|Canada-AB|Unknown|2025-02-13|wild_avian|D1.1	Canada	AB	Unknown	2025-02-13	55.5234925357347	-111.628693793302
EPI_ISL_20208389|A/Cackling_Goose/AB/FAV-0398-1/2024|H5N1|Canada-AB|Unknown|2024-10-23|wild_avian|D1.1	Canada	AB	Unknown	2024-10-23	53.7909821352029	-110.145355517406
EPI_ISL_20208391|A/Canada_Goose/AB/FAV-0178-6/2025|H5N1|Canada-AB|Unknown|2024-11-10|wild_avian|D1.1	Canada	AB	Unknown	2024-11-10	56.8400106338679	-113.40816153607
EPI_ISL_20208404|A/Chicken/AB/FAV-0161-1/2025|H5N1|Canada-AB|Unknown|2025-05-09|domestic_avian|D1.1	Canada	AB	Unknown	2025-05-09	53.5949763470389	-111.691799909661
EPI_ISL_20208426|A/Great_Horned_Owl/AB/FAV-0178-1/2025|H5N1|Canada-AB|Unknown|2024-12-10|wild_avian|D1.1	Canada	AB	Unknown	2024-12-10	54.8685074958585	-119.101649010523
EPI_ISL_20208456|A/Turkey/AB/FAV-0270/2025|H5N1|Canada-AB|Unknown|2025-09-03|domestic_avian|D1.1	Canada	AB	Unknown	2025-09-03	51.8845761325224	-115.432185999014
EPI_ISL_20208457|A/Turkey/AB/FAV-0274/2025|H5N1|Canada-AB|Unknown|2025-09-09|domestic_avian|D1.1	Canada	AB	Unknown	2025-09-09	55.539269486713	-116.058176525139
EPI_ISL_19751742|A/Peregrine_Falcon/BC/AIVPHL-2576/2024|H5N1|Canada-BC|Unknown|2024-10-28|wild_avian|D1.1	Canada	BC	Unknown	2024-10-28	55.841604158732	-125.226064539021
EPI_ISL_19751768|A/Snow_Goose/BC/AIVPHL-2636/2024|H5N1|Canada-BC|Unknown|2024-11-02|wild_avian|D1.1	Canada	BC	Unknown	2024-11-02	55.2753341940069	-122.765512063018
EPI_ISL_19787968|A/Canada_Goose/BC/AIVPHL-2656/2024|H5N1|Canada-BC|Unknown|2024-10-17|wild_avian|D1.1	Canada	BC	Unknown	2024-10-17	58.5181649459057	-125.932186793264
EPI_ISL_19787978|A/Snow_Goose/BC/AIVPHL-2667/2024|H5N1|Canada-BC|Unknown|2024-11-11|wild_avian|D1.1	Canada	BC	Unknown	2024-11-11	49.2235228095707	-119.396451224808
EPI_ISL_19788007|A/Canada_Goose/BC/AIVPHL-3503/2025|H5N1|Canada-BC|Unknown|2025-02-20|wild_avian|D1.1	Canada	BC	Unknown	2025-02-20	50.7890173976655	-119.464670795511
EPI_ISL_19788008|A/Cooper_s_Hawk/BC/AIVPHL-3515/2025|H5N1|Canada-BC|Unknown|2025-02-14|wild_avian|D1.1	Canada	BC	Unknown	2025-02-14	52.3843435168257	-127.480817431908
EPI_ISL_19788009|A/Red_Tailed_Hawk/BC/AIVPHL-2966/2025|H5N1|Canada-BC|Unknown|2025-01-06|wild_avian|D1.1	Canada	BC	Unknown	2025-01-06	58.3368532896226	-128.14994405579
EPI_ISL_19788013|A/Bald_Eagle/BC/AIVPHL-2979/2025|H5N1|Canada-BC|Unknown|2025-01-03|wild_avian|D1.1	Canada	BC	Unknown	2025-01-03	56.3315789873351	-125.255953152291
