location,flyway
Canada-NL,Atlantic
Canada-NS,Atlantic
Canada-PE,Atlantic
Canada-QC,Atlantic
CaymanIslands,Atlantic
USA-CT,Atlantic
USA-DE,Atlantic
USA-FL,Atlantic
USA-GA,Atlantic
USA-MA,Atlantic
USA-MD,Atlantic
USA-ME,Atlantic
USA-NC,Atlantic
USA-NH,Atlantic
USA-NJ,Atlantic
USA-NY,Atlantic
USA-PA,Atlantic
USA-RI,Atlantic
USA-SC,Atlantic
USA-VA,Atlantic
USA-VT,Atlantic
USA-WV,Atlantic
Canada-AB,Central
Canada-SK,Central
Guatemala-Izabal,Central
Guatemala-San_Marcos,Central
Mexico-Durango,Central
USA-CO,Central
USA-KS,Central
USA-MT,Central
USA-ND,Central
USA-NE,Central
USA-NM,Central
USA-OK,Central
USA-SD,Central
USA-TX,Central
USA-WY,Central
Canada-MB,Mississippi
Canada-ON,Mississippi
USA-AL,Mississippi
USA-AR,Mississippi
USA-IA,Mississippi
USA-IL,Mississippi
USA-IN,Mississippi
USA-KY,Mississippi
USA-LA,Mississippi
USA-MI,Mississippi
USA-MN,Mississippi
USA-MO,Mississippi
USA-MS,Mississippi
USA-OH,Mississippi
USA-TN,Mississippi
USA-WI,Mississippi
Canada-BC,Pacific
Mexico-Sonora,Pacific
USA-AK,Pacific
USA-AZ,Pacific
USA-CA,Pacific
USA-ID,Pacific
USA-NV,Pacific
USA-OR,Pacific
USA-UT,Pacific
USA-WA,Pacific
